date,fund_id,y_true,xgb,fold
2021-04-22,LIC_LargeCap,1,0.9005705,4
2021-04-23,LIC_LargeCap,1,0.90946406,4
2021-04-26,LIC_LargeCap,1,0.91686845,4
2021-04-27,LIC_LargeCap,1,0.91212904,4
2021-04-28,LIC_LargeCap,1,0.89636016,4
2021-04-29,LIC_LargeCap,1,0.8890074,4
2021-04-30,LIC_LargeCap,1,0.87605184,4
2021-05-03,LIC_LargeCap,1,0.9301235,4
2021-05-04,LIC_LargeCap,1,0.9280002,4
2021-05-05,LIC_LargeCap,1,0.9322771,4
2021-05-06,LIC_LargeCap,1,0.931498,4
2021-05-07,LIC_LargeCap,1,0.9300513,4
2021-05-10,LIC_LargeCap,1,0.9115642,4
2021-05-11,LIC_LargeCap,1,0.91403896,4
2021-05-12,LIC_LargeCap,1,0.89584094,4
2021-05-14,LIC_LargeCap,1,0.9151843,4
2021-05-17,LIC_LargeCap,1,0.9264299,4
2021-05-18,LIC_LargeCap,1,0.9123347,4
2021-05-19,LIC_LargeCap,1,0.9116852,4
2021-05-20,LIC_LargeCap,1,0.91115415,4
2021-05-21,LIC_LargeCap,1,0.9449227,4
2021-05-24,LIC_LargeCap,1,0.9359926,4
2021-05-25,LIC_LargeCap,1,0.90835315,4
2021-05-26,LIC_LargeCap,1,0.9426275,4
2021-05-27,LIC_LargeCap,1,0.9371443,4
2021-05-28,LIC_LargeCap,1,0.9468069,4
2021-05-31,LIC_LargeCap,1,0.8940359,4
2021-06-01,LIC_LargeCap,1,0.9237079,4
2021-06-02,LIC_LargeCap,1,0.90324044,4
2021-06-03,LIC_LargeCap,1,0.8449028,4
2021-06-04,LIC_LargeCap,1,0.8942968,4
2021-06-07,LIC_LargeCap,1,0.8835535,4
2021-06-08,LIC_LargeCap,1,0.85987395,4
2021-06-09,LIC_LargeCap,1,0.8603318,4
2021-06-10,LIC_LargeCap,1,0.82145196,4
2021-06-11,LIC_LargeCap,1,0.8132101,4
2021-06-14,LIC_LargeCap,1,0.7521146,4
2021-06-15,LIC_LargeCap,1,0.77908164,4
2021-06-16,LIC_LargeCap,1,0.7510858,4
2021-06-17,LIC_LargeCap,1,0.7347191,4
2021-06-18,LIC_LargeCap,1,0.69508165,4
2021-06-21,LIC_LargeCap,1,0.82452494,4
2021-06-22,LIC_LargeCap,1,0.7633136,4
2021-06-23,LIC_LargeCap,1,0.66071427,4
2021-06-24,LIC_LargeCap,1,0.58935136,4
2021-06-25,LIC_LargeCap,1,0.56497455,4
2021-06-28,LIC_LargeCap,1,0.49373692,4
2021-06-29,LIC_LargeCap,1,0.4973643,4
2021-06-30,LIC_LargeCap,1,0.4764817,4
2021-07-01,LIC_LargeCap,1,0.5025396,4
2021-07-02,LIC_LargeCap,1,0.4645324,4
2021-07-05,LIC_LargeCap,1,0.50557625,4
2021-07-06,LIC_LargeCap,1,0.43414855,4
2021-07-07,LIC_LargeCap,1,0.48412567,4
2021-07-08,LIC_LargeCap,1,0.5166695,4
2021-07-09,LIC_LargeCap,1,0.540501,4
2021-07-12,LIC_LargeCap,1,0.4483025,4
2021-07-13,LIC_LargeCap,1,0.5058297,4
2021-07-14,LIC_LargeCap,1,0.48488054,4
2021-07-15,LIC_LargeCap,1,0.4616816,4
2021-07-16,LIC_LargeCap,1,0.5101393,4
2021-07-19,LIC_LargeCap,1,0.4353859,4
2021-07-20,LIC_LargeCap,1,0.5421547,4
2021-07-22,LIC_LargeCap,1,0.5348865,4
2021-07-23,LIC_LargeCap,1,0.57028097,4
2021-07-26,LIC_LargeCap,1,0.48132062,4
2021-07-27,LIC_LargeCap,1,0.44003773,4
2021-07-28,LIC_LargeCap,1,0.4941688,4
2021-07-29,LIC_LargeCap,1,0.4613262,4
2021-07-30,LIC_LargeCap,1,0.48007777,4
2021-08-02,LIC_LargeCap,1,0.52191496,4
2021-08-03,LIC_LargeCap,1,0.51753074,4
2021-08-04,LIC_LargeCap,1,0.5240284,4
2021-08-05,LIC_LargeCap,1,0.49377424,4
2021-08-06,LIC_LargeCap,1,0.6077371,4
2021-08-09,LIC_LargeCap,1,0.61083084,4
2021-08-10,LIC_LargeCap,1,0.5169226,4
2021-08-11,LIC_LargeCap,1,0.519327,4
2021-08-12,LIC_LargeCap,1,0.48465866,4
2021-08-13,LIC_LargeCap,1,0.5347935,4
2021-08-16,LIC_LargeCap,1,0.47259945,4
2021-08-17,LIC_LargeCap,1,0.5143826,4
2021-08-18,LIC_LargeCap,1,0.63112557,4
2021-08-20,LIC_LargeCap,1,0.63472,4
2021-08-23,LIC_LargeCap,1,0.652115,4
2021-08-24,LIC_LargeCap,1,0.6390352,4
2021-08-25,LIC_LargeCap,1,0.6682357,4
2021-08-26,LIC_LargeCap,1,0.6781458,4
2021-08-27,LIC_LargeCap,1,0.687447,4
2021-08-30,LIC_LargeCap,1,0.6733912,4
2021-08-31,LIC_LargeCap,1,0.67308563,4
2021-09-01,LIC_LargeCap,1,0.71282196,4
2021-09-02,LIC_LargeCap,1,0.67369145,4
2021-09-03,LIC_LargeCap,1,0.715486,4
2021-09-06,LIC_LargeCap,1,0.6980739,4
2021-09-07,LIC_LargeCap,1,0.6732979,4
2021-09-08,LIC_LargeCap,1,0.7298027,4
2021-09-09,LIC_LargeCap,1,0.70407176,4
2021-09-13,LIC_LargeCap,1,0.7253101,4
2021-09-14,LIC_LargeCap,1,0.746098,4
2021-09-15,LIC_LargeCap,1,0.772761,4
2021-09-16,LIC_LargeCap,1,0.8105906,4
2021-09-17,LIC_LargeCap,1,0.65912265,4
2021-09-20,LIC_LargeCap,1,0.68279004,4
2021-09-21,LIC_LargeCap,1,0.7684696,4
2021-09-22,LIC_LargeCap,1,0.8013337,4
2021-09-23,LIC_LargeCap,1,0.8383664,4
2021-09-24,LIC_LargeCap,1,0.8026193,4
2021-09-27,LIC_LargeCap,1,0.81475693,4
2021-09-28,LIC_LargeCap,1,0.8403475,4
2021-09-29,LIC_LargeCap,1,0.9021673,4
2021-09-30,LIC_LargeCap,1,0.8796409,4
2021-10-01,LIC_LargeCap,1,0.8677602,4
2021-10-04,LIC_LargeCap,1,0.883753,4
2021-10-05,LIC_LargeCap,1,0.8710589,4
2021-10-06,LIC_LargeCap,1,0.84040296,4
2021-10-07,LIC_LargeCap,1,0.7909276,4
2021-10-08,LIC_LargeCap,1,0.728887,4
2021-10-11,LIC_LargeCap,1,0.77273506,4
2021-10-12,LIC_LargeCap,1,0.7841621,4
2021-10-13,LIC_LargeCap,1,0.8474712,4
