date,nav
2015-04-01,168.4500
2015-04-06,169.1200
2015-04-07,169.1400
2015-04-08,170.4100
2015-04-09,171.5600
2015-04-10,171.8800
2015-04-13,172.7200
2015-04-15,171.5300
2015-04-16,170.7500
2015-04-17,168.5400
2015-04-20,165.7700
2015-04-21,164.5600
2015-04-22,164.7700
2015-04-23,164.5500
2015-04-24,162.5400
2015-04-27,160.5900
2015-04-28,162.4000
2015-04-29,162.2300
2015-04-30,161.9500
2015-05-04,164.1500
2015-05-05,164.4100
2015-05-06,160.0200
2015-05-07,158.2300
2015-05-08,161.0600
2015-05-11,163.7500
2015-05-12,160.2400
2015-05-13,162.8400
2015-05-14,162.7900
2015-05-15,163.4900
2015-05-18,165.3900
2015-05-19,165.2700
2015-05-20,166.0200
2015-05-21,166.0200
2015-05-22,166.4300
2015-05-25,165.6000
2015-05-26,165.0400
2015-05-27,164.9400
2015-05-28,164.5900
2015-05-29,166.7800
2015-06-01,166.3200
2015-06-02,163.0300
2015-06-03,161.4100
2015-06-04,161.8500
2015-06-05,161.6000
2015-06-08,160.3000
2015-06-09,159.9200
2015-06-10,161.8700
2015-06-11,159.1400
2015-06-12,159.4300
2015-06-15,159.9000
2015-06-16,160.7300
2015-06-17,161.7300
2015-06-18,163.2600
2015-06-19,163.9400
2015-06-22,166.3900
2015-06-23,166.6500
2015-06-24,166.2900
2015-06-25,167.1200
2015-06-26,167.0800
2015-06-29,165.6400
2015-06-30,166.6700
2015-07-01,168.4000
2015-07-02,168.4600
2015-07-03,168.9500
2015-07-06,169.7700
2015-07-07,169.6000
2015-07-08,167.1800
2015-07-09,166.8900
2015-07-10,168.0700
2015-07-13,170.0100
2015-07-14,169.7200
2015-07-15,170.8300
2015-07-16,172.3100
2015-07-17,172.7100
2015-07-20,172.6100
2015-07-21,170.9900
2015-07-22,172.8400
2015-07-23,172.2900
2015-07-24,171.1100
2015-07-27,168.3300
2015-07-28,168.0600
2015-07-29,169.1900
2015-07-30,170.2100
2015-07-31,172.3300
2015-08-03,172.5500
2015-08-04,172.5500
2015-08-05,173.8100
2015-08-06,174.1500
2015-08-07,173.9700
2015-08-10,173.0600
2015-08-11,172.1500
2015-08-12,169.4800
2015-08-13,169.5800
2015-08-14,172.6400
2015-08-17,171.9300
2015-08-18,171.9700
2015-08-19,172.3100
2015-08-20,169.7200
2015-08-21,168.1900
2015-08-24,158.0000
2015-08-25,160.1100
2015-08-26,158.7300
2015-08-27,161.6200
2015-08-28,162.4800
2015-08-31,161.9600
2015-09-01,158.4900
2015-09-02,157.4700
2015-09-03,159.4600
2015-09-04,156.1600
2015-09-07,153.9600
2015-09-08,156.4500
2015-09-09,159.1000
2015-09-10,158.9400
2015-09-11,158.8400
2015-09-14,160.5900
2015-09-15,159.8200
2015-09-16,160.8300
2015-09-18,162.7800
2015-09-21,162.9500
2015-09-22,159.6900
2015-09-23,160.2200
2015-09-24,160.7900
2015-09-28,159.4200
2015-09-29,160.3300
2015-09-30,162.2500
2015-10-01,162.0300
2015-10-05,164.9600
2015-10-06,165.2700
2015-10-07,165.4900
2015-10-08,164.5700
2015-10-09,165.4800
2015-10-12,164.9900
2015-10-13,164.6600
2015-10-14,164.3100
2015-10-15,165.9400
2015-10-16,167.2500
2015-10-19,167.7900
2015-10-20,168.1500
2015-10-21,167.4500
2015-10-23,167.7200
2015-10-26,167.2200
2015-10-27,167.0200
2015-10-28,165.7500
2015-10-29,164.7300
2015-10-30,164.1600
2015-11-02,164.2400
2015-11-03,164.5800
2015-11-04,164.5000
2015-11-05,162.7500
2015-11-06,162.4100
2015-11-09,162.2100
2015-11-10,159.4500
2015-11-13,159.4100
2015-11-16,160.1500
2015-11-17,160.2700
2015-11-18,158.4400
2015-11-19,160.5700
2015-11-20,161.0200
2015-11-23,161.1900
2015-11-24,160.9900
2015-11-26,161.4500
2015-11-27,162.6800
2015-11-30,162.7000
2015-12-01,163.2700
2015-12-02,162.7800
2015-12-03,161.6600
2015-12-04,160.3300
2015-12-07,160.2300
2015-12-08,158.9300
2015-12-09,156.9500
2015-12-10,158.1300
2015-12-11,156.4700
2015-12-14,157.1600
2015-12-15,158.0200
2015-12-16,159.1100
2015-12-17,160.8700
2015-12-18,159.4900
2015-12-21,160.7900
2015-12-22,159.9900
2015-12-23,161.2900
2015-12-24,161.2000
2015-12-28,162.3700
2015-12-29,162.5600
2015-12-30,162.0000
2015-12-31,162.8300
2016-01-01,163.5300
2016-01-04,160.6000
2016-01-05,160.6800
2016-01-06,159.9900
2016-01-07,156.6500
2016-01-08,157.8900
2016-01-11,157.2800
2016-01-12,156.0300
2016-01-13,156.6900
2016-01-14,155.9400
2016-01-15,154.0900
2016-01-18,151.7500
2016-01-19,153.1900
2016-01-20,150.7500
2016-01-21,150.0200
2016-01-22,152.8900
2016-01-25,152.8900
2016-01-27,153.3500
2016-01-28,153.0900
2016-01-29,155.8700
2016-02-01,156.0300
2016-02-02,153.7200
2016-02-03,151.5400
2016-02-04,152.2200
2016-02-05,154.0600
2016-02-08,152.5200
2016-02-09,150.2300
2016-02-10,148.9200
2016-02-11,144.4100
2016-02-12,144.0800
2016-02-15,148.5400
2016-02-16,145.8100
2016-02-17,146.7700
2016-02-18,148.6500
2016-02-19,148.7800
2016-02-22,149.4500
2016-02-23,147.0900
2016-02-24,145.2700
2016-02-25,143.4900
2016-02-26,144.9700
2016-02-29,144.5600
2016-03-01,149.4000
2016-03-02,152.4700
2016-03-03,154.1200
2016-03-04,154.6400
2016-03-08,154.3800
2016-03-09,155.6800
2016-03-10,154.5500
2016-03-11,154.8500
2016-03-14,155.6500
2016-03-15,154.5800
2016-03-16,155.1200
2016-03-17,155.5600
2016-03-18,156.9700
2016-03-21,158.6300
2016-03-22,158.9800
2016-03-23,159.0500
2016-03-28,157.1500
2016-03-29,156.8900
2016-03-30,159.5500
2016-03-31,159.8800
2016-04-01,159.9000
2016-04-04,160.6600
2016-04-05,157.8800
2016-04-06,158.2600
2016-04-07,157.3000
2016-04-08,157.8900
2016-04-11,159.7100
2016-04-12,160.4700
2016-04-13,162.6300
2016-04-18,163.8000
2016-04-20,163.7500
2016-04-21,163.9300
2016-04-22,164.0000
2016-04-25,163.1200
2016-04-26,165.2100
2016-04-27,165.5600
2016-04-28,163.1900
2016-04-29,163.5400
2016-05-02,162.9400
2016-05-03,161.7600
2016-05-04,160.9500
2016-05-05,161.5000
2016-05-06,161.3800
2016-05-09,163.9300
2016-05-10,164.2700
2016-05-11,163.9900
2016-05-12,165.0900
2016-05-13,164.1700
2016-05-16,165.1000
2016-05-17,165.3900
2016-05-18,165.1300
2016-05-19,163.6800
2016-05-20,162.9900
2016-05-23,162.4600
2016-05-24,162.6000
2016-05-25,165.6300
2016-05-26,167.8800
2016-05-27,169.4800
2016-05-30,170.2800
2016-05-31,170.0100
2016-06-01,170.0000
2016-06-02,171.1800
2016-06-03,171.3500
2016-06-06,171.1600
2016-06-07,172.2700
2016-06-08,172.4800
2016-06-09,171.5700
2016-06-10,170.9600
2016-06-13,170.0000
2016-06-14,170.1900
2016-06-15,172.0500
2016-06-16,170.7900
2016-06-17,171.2400
