date,nav
2015-04-01,20.1900
2015-04-06,20.3300
2015-04-07,20.3600
2015-04-08,20.4900
2015-04-09,20.5700
2015-04-10,20.5600
2015-04-13,20.6900
2015-04-15,20.5400
2015-04-16,20.4500
2015-04-17,20.1400
2015-04-20,19.7800
2015-04-21,19.6300
2015-04-22,19.6900
2015-04-23,19.6200
2015-04-24,19.3500
2015-04-27,19.1200
2015-04-28,19.3500
2015-04-29,19.3300
2015-04-30,19.2200
2015-05-04,19.4800
2015-05-05,19.4700
2015-05-06,18.9700
2015-05-07,18.8000
2015-05-08,19.1200
2015-05-11,19.4300
2015-05-12,19.0700
2015-05-13,19.3000
2015-05-14,19.2900
2015-05-15,19.3900
2015-05-18,19.6000
2015-05-19,19.6300
2015-05-20,19.7500
2015-05-21,19.7300
2015-05-22,19.8400
2015-05-25,19.7100
2015-05-26,19.6800
2015-05-27,19.6300
2015-05-28,19.5800
2015-05-29,19.8600
2015-06-01,19.7900
2015-06-02,19.4300
2015-06-03,19.2500
2015-06-04,19.2500
2015-06-05,19.2700
2015-06-08,19.0800
2015-06-09,19.0300
2015-06-10,19.2700
2015-06-11,18.9800
2015-06-12,19.0000
2015-06-15,19.1100
2015-06-16,19.1500
2015-06-17,19.3100
2015-06-18,19.4900
2015-06-19,19.5300
2015-06-22,19.8000
2015-06-23,19.8800
2015-06-24,19.8300
2015-06-25,19.9500
2015-06-26,19.9200
2015-06-29,19.7400
2015-06-30,19.8900
2015-07-01,20.0900
2015-07-02,20.1100
2015-07-03,20.1800
2015-07-06,20.2900
2015-07-07,20.2700
2015-07-08,19.9800
2015-07-09,19.9400
2015-07-10,20.0200
2015-07-13,20.2500
2015-07-14,20.2000
2015-07-15,20.3400
2015-07-16,20.5600
2015-07-17,20.5500
2015-07-20,20.5800
2015-07-21,20.3900
2015-07-22,20.6200
2015-07-23,20.5800
2015-07-24,20.4500
2015-07-27,20.1500
2015-07-28,20.1500
2015-07-29,20.2800
2015-07-30,20.3200
2015-07-31,20.5200
2015-08-03,20.5600
2015-08-04,20.5600
2015-08-05,20.7000
2015-08-06,20.8100
2015-08-07,20.7400
2015-08-10,20.7000
2015-08-11,20.5700
2015-08-12,20.2300
2015-08-13,20.2300
2015-08-14,20.7100
2015-08-17,20.6300
2015-08-18,20.6500
2015-08-19,20.7100
2015-08-20,20.3800
2015-08-21,20.2200
2015-08-24,18.8800
2015-08-25,19.0600
2015-08-26,18.8600
2015-08-27,19.2800
2015-08-28,19.4200
2015-08-31,19.2900
2015-09-01,18.8700
2015-09-02,18.7300
2015-09-03,19.0000
2015-09-04,18.5900
2015-09-07,18.3800
2015-09-08,18.6500
2015-09-09,18.9800
2015-09-10,18.9600
2015-09-11,18.9800
2015-09-14,19.1400
2015-09-15,19.0300
2015-09-16,19.1300
2015-09-18,19.3300
2015-09-21,19.4000
2015-09-22,19.0600
2015-09-23,19.1300
2015-09-24,19.2200
2015-09-28,18.9800
2015-09-29,19.1100
2015-09-30,19.3500
2015-10-01,19.3900
2015-10-05,19.7600
2015-10-06,19.7900
2015-10-07,19.7900
2015-10-08,19.6800
2015-10-09,19.8000
2015-10-12,19.7000
2015-10-13,19.6200
2015-10-14,19.5400
2015-10-15,19.7300
2015-10-16,19.8500
2015-10-19,19.9800
2015-10-20,20.0200
2015-10-21,20.0200
2015-10-23,20.0300
2015-10-26,19.9400
2015-10-27,19.9600
2015-10-28,19.8900
2015-10-29,19.7600
2015-10-30,19.6400
2015-11-02,19.5700
2015-11-03,19.6200
2015-11-04,19.5900
2015-11-05,19.3500
2015-11-06,19.3700
2015-11-09,19.3600
2015-11-10,19.1300
2015-11-13,19.1500
2015-11-16,19.2200
2015-11-17,19.2600
2015-11-18,19.0800
2015-11-19,19.3600
2015-11-20,19.4400
2015-11-23,19.4200
2015-11-24,19.3400
2015-11-26,19.4800
2015-11-27,19.5900
2015-11-30,19.5700
2015-12-01,19.5600
2015-12-02,19.5000
2015-12-03,19.3500
2015-12-04,19.1800
2015-12-07,19.1400
2015-12-08,19.0200
2015-12-09,18.7700
2015-12-10,18.9500
2015-12-11,18.7900
2015-12-14,18.8300
2015-12-15,19.0000
2015-12-16,19.1000
2015-12-17,19.3300
2015-12-18,19.1800
2015-12-21,19.3100
2015-12-22,19.2400
2015-12-23,19.4400
2015-12-24,19.4200
2015-12-28,19.5200
2015-12-29,19.5500
2015-12-30,19.5300
2015-12-31,19.7100
2016-01-01,19.7900
2016-01-04,19.4000
2016-01-05,19.4400
2016-01-06,19.3900
2016-01-07,18.9600
2016-01-08,19.1000
2016-01-11,19.0300
2016-01-12,18.8600
2016-01-13,18.9900
2016-01-14,18.8300
2016-01-15,18.5800
2016-01-18,18.2000
2016-01-19,18.4600
2016-01-20,18.1400
2016-01-21,18.0800
2016-01-22,18.3900
2016-01-25,18.4000
2016-01-27,18.4200
2016-01-28,18.4200
2016-01-29,18.7300
2016-02-01,18.7300
2016-02-02,18.4900
2016-02-03,18.2800
2016-02-04,18.2600
2016-02-05,18.4900
2016-02-08,18.3100
2016-02-09,18.0500
2016-02-10,17.8600
2016-02-11,17.2700
2016-02-12,17.3500
2016-02-15,17.7600
2016-02-16,17.4200
2016-02-17,17.5800
2016-02-18,17.7200
2016-02-19,17.7700
2016-02-22,17.8700
2016-02-23,17.6400
2016-02-24,17.4600
2016-02-25,17.3000
2016-02-26,17.3800
2016-02-29,17.3200
2016-03-01,17.8000
2016-03-02,18.1000
2016-03-03,18.3300
2016-03-04,18.3400
2016-03-08,18.2600
2016-03-09,18.3800
2016-03-10,18.2800
2016-03-11,18.3000
2016-03-14,18.3700
2016-03-15,18.2100
2016-03-16,18.3000
2016-03-17,18.3700
2016-03-18,18.5700
