date,nav
2015-04-01,25.4887
2015-04-06,25.7296
2015-04-07,25.6980
2015-04-08,25.9180
2015-04-09,26.0312
2015-04-10,25.9799
2015-04-13,26.1406
2015-04-15,25.9164
2015-04-16,25.7872
2015-04-17,25.4069
2015-04-20,25.0014
2015-04-21,24.7745
2015-04-22,24.8742
2015-04-23,24.7442
2015-04-24,24.5627
2015-04-27,24.3108
2015-04-28,24.5193
2015-04-29,24.4285
2015-04-30,24.3053
2015-05-04,24.7066
2015-05-05,24.6977
2015-05-06,24.0343
2015-05-07,23.9085
2015-05-08,24.3560
2015-05-11,24.7087
2015-05-12,24.1406
2015-05-13,24.4254
2015-05-14,24.3501
2015-05-15,24.4818
2015-05-18,24.7967
2015-05-19,24.7529
2015-05-20,24.9260
2015-05-21,24.9697
2015-05-22,25.0895
2015-05-25,24.8575
2015-05-26,24.7560
2015-05-27,24.6601
2015-05-28,24.6122
2015-05-29,24.9998
2015-06-01,24.9036
2015-06-02,24.3811
2015-06-03,24.1114
2015-06-04,24.1149
2015-06-05,24.0832
2015-06-08,23.8988
2015-06-09,23.8377
2015-06-10,24.1399
2015-06-11,23.6886
2015-06-12,23.7211
2015-06-15,23.8013
2015-06-16,23.8905
2015-06-17,24.0281
2015-06-18,24.3077
2015-06-19,24.4413
2015-06-22,24.7669
2015-06-23,24.8515
2015-06-24,24.7845
2015-06-25,24.8877
2015-06-26,24.8364
2015-06-29,24.5762
2015-06-30,24.7368
2015-07-01,24.9978
2015-07-02,24.9532
2015-07-03,25.0492
2015-07-06,25.1566
2015-07-07,25.0957
2015-07-08,24.6985
2015-07-09,24.6300
2015-07-10,24.7503
2015-07-13,25.0045
2015-07-14,24.9563
2015-07-15,25.1474
2015-07-16,25.4107
2015-07-17,25.4392
2015-07-20,25.4042
2015-07-21,25.1508
2015-07-22,25.3864
2015-07-23,25.2208
2015-07-24,24.9725
2015-07-27,24.5203
2015-07-28,24.5034
2015-07-29,24.6866
2015-07-30,24.7125
2015-07-31,25.0041
2015-08-03,24.9599
2015-08-04,24.9456
2015-08-05,25.0653
2015-08-06,25.1671
2015-08-07,25.1438
2015-08-10,25.0374
2015-08-11,24.7915
2015-08-12,24.4018
2015-08-13,24.4471
2015-08-14,24.8913
2015-08-17,24.8022
2015-08-18,24.8334
2015-08-19,24.8710
2015-08-20,24.4508
2015-08-21,24.2120
2015-08-24,22.7458
2015-08-25,23.0933
2015-08-26,22.8754
2015-08-27,23.2423
2015-08-28,23.3421
2015-08-31,23.3445
2015-09-01,22.7755
2015-09-02,22.5448
2015-09-03,22.8542
2015-09-04,22.4205
2015-09-07,22.1031
2015-09-08,22.4944
2015-09-09,22.8906
2015-09-10,22.8304
2015-09-11,22.8377
2015-09-14,23.1294
2015-09-15,22.9821
2015-09-16,23.1550
2015-09-18,23.4864
2015-09-21,23.4956
2015-09-22,23.0091
2015-09-23,23.1370
2015-09-24,23.1526
2015-09-28,22.9183
2015-09-29,22.9955
2015-09-30,23.2607
2015-10-01,23.3174
2015-10-05,23.7163
2015-10-06,23.7329
2015-10-07,23.7104
2015-10-08,23.5933
2015-10-09,23.7079
2015-10-12,23.5774
2015-10-13,23.5230
2015-10-14,23.4461
2015-10-15,23.7268
2015-10-16,23.9332
2015-10-19,24.0463
2015-10-20,24.0250
2015-10-21,23.9908
2015-10-23,24.0697
2015-10-26,23.9586
2015-10-27,23.9391
2015-10-28,23.7415
2015-10-29,23.5168
