date,nav
2015-04-01,18.3600
2015-04-06,18.5100
2015-04-07,18.4900
2015-04-08,18.6000
2015-04-09,18.7100
2015-04-10,18.7000
2015-04-13,18.7600
2015-04-15,18.6500
2015-04-16,18.4800
2015-04-17,18.1400
2015-04-20,17.8500
2015-04-21,17.7000
2015-04-22,17.8100
2015-04-23,17.7200
2015-04-24,17.4800
2015-04-27,17.2400
2015-04-28,17.5100
2015-04-29,17.5000
2015-04-30,17.4600
2015-05-04,17.7300
2015-05-05,17.7500
2015-05-06,17.1800
2015-05-07,16.9400
2015-05-08,17.2700
2015-05-11,17.6100
2015-05-12,17.1700
2015-05-13,17.3900
2015-05-14,17.4300
2015-05-15,17.5100
2015-05-18,17.7500
2015-05-19,17.7400
2015-05-20,17.8300
2015-05-21,17.8400
2015-05-22,17.8600
2015-05-25,17.7500
2015-05-26,17.7000
2015-05-27,17.6800
2015-05-28,17.6300
2015-05-29,17.9100
2015-06-01,17.8800
2015-06-02,17.4600
2015-06-03,17.2300
2015-06-04,17.2900
2015-06-05,17.2600
2015-06-08,17.0800
2015-06-09,17.0500
2015-06-10,17.2500
2015-06-11,16.9300
2015-06-12,16.9800
2015-06-15,17.0100
2015-06-16,17.1100
2015-06-17,17.1900
2015-06-18,17.4000
2015-06-19,17.5200
2015-06-22,17.8000
2015-06-23,17.8500
2015-06-24,17.7600
2015-06-25,17.8500
2015-06-26,17.8400
2015-06-29,17.6500
2015-06-30,17.7800
2015-07-01,17.9900
2015-07-02,18.0100
2015-07-03,18.0700
2015-07-06,18.2000
2015-07-07,18.2300
2015-07-08,17.9500
2015-07-09,17.9500
2015-07-10,18.0600
2015-07-13,18.2600
2015-07-14,18.2700
2015-07-15,18.4000
2015-07-16,18.6000
2015-07-17,18.6200
2015-07-20,18.6800
2015-07-21,18.4200
2015-07-22,18.6700
2015-07-23,18.6500
2015-07-24,18.5600
2015-07-27,18.2100
2015-07-28,18.2900
2015-07-29,18.4000
2015-07-30,18.4200
2015-07-31,18.5900
2015-08-03,18.6400
2015-08-04,18.6500
2015-08-05,18.7400
2015-08-06,18.8300
2015-08-07,18.8400
2015-08-10,18.7900
2015-08-11,18.6700
2015-08-12,18.3300
2015-08-13,18.3800
2015-08-14,18.7300
2015-08-17,18.6700
2015-08-18,18.7500
2015-08-19,18.7900
2015-08-20,18.4300
2015-08-21,18.2600
2015-08-24,17.0500
2015-08-25,17.2900
2015-08-26,17.0800
2015-08-27,17.4400
2015-08-28,17.4800
2015-08-31,17.4000
2015-09-01,16.9900
2015-09-02,16.8600
2015-09-03,17.1200
2015-09-04,16.7700
2015-09-07,16.4800
2015-09-08,16.7500
2015-09-09,17.0800
2015-09-10,17.1000
2015-09-11,17.1000
2015-09-14,17.3000
2015-09-15,17.1600
2015-09-16,17.2300
2015-09-18,17.4500
2015-09-21,17.5300
2015-09-22,17.1900
2015-09-23,17.3000
2015-09-24,17.3200
2015-09-28,17.1600
2015-09-29,17.2600
2015-09-30,17.4200
2015-10-01,17.4800
2015-10-05,17.8000
2015-10-06,17.8000
2015-10-07,17.8000
2015-10-08,17.6900
2015-10-09,17.7000
2015-10-12,17.6300
2015-10-13,17.6000
2015-10-14,17.5800
2015-10-15,17.7100
2015-10-16,17.8800
2015-10-19,17.9500
2015-10-20,17.9700
2015-10-21,17.9200
2015-10-23,17.9500
2015-10-26,17.8400
2015-10-27,17.8500
2015-10-28,17.6900
2015-10-29,17.5700
2015-10-30,17.5300
2015-11-02,17.5200
2015-11-03,17.5600
2015-11-04,17.5000
2015-11-05,17.2800
2015-11-06,17.3200
2015-11-09,17.2900
2015-11-10,17.0100
2015-11-13,17.0600
2015-11-16,17.1100
2015-11-17,17.0900
2015-11-18,16.9100
2015-11-19,17.1500
2015-11-20,17.2000
2015-11-23,17.2100
2015-11-24,17.1500
2015-11-26,17.2100
2015-11-27,17.3400
2015-11-30,17.3500
2015-12-01,17.3700
2015-12-02,17.3000
2015-12-03,17.2000
2015-12-04,17.0700
2015-12-07,17.1100
2015-12-08,16.9800
2015-12-09,16.7200
2015-12-10,16.8800
2015-12-11,16.7400
2015-12-14,16.8200
2015-12-15,16.9300
2015-12-16,17.0400
2015-12-17,17.2100
2015-12-18,17.0700
2015-12-21,17.1700
2015-12-22,17.0900
2015-12-23,17.2200
2015-12-24,17.2200
2015-12-28,17.3400
2015-12-29,17.3500
2015-12-30,17.2700
2015-12-31,17.3600
2016-01-01,17.4600
2016-01-04,17.1400
2016-01-05,17.1600
2016-01-06,17.1400
2016-01-07,16.7600
2016-01-08,16.8900
2016-01-11,16.8400
2016-01-12,16.7000
2016-01-13,16.8000
2016-01-14,16.7300
2016-01-15,16.5400
2016-01-18,16.2400
2016-01-19,16.3800
2016-01-20,16.0800
2016-01-21,15.9600
2016-01-22,16.2700
2016-01-25,16.3100
2016-01-27,16.3300
2016-01-28,16.3100
2016-01-29,16.5600
2016-02-01,16.5600
2016-02-02,16.2700
2016-02-03,15.9900
2016-02-04,16.0200
2016-02-05,16.2100
2016-02-08,16.0400
2016-02-09,15.8300
2016-02-10,15.6600
2016-02-11,15.1700
2016-02-12,15.1500
2016-02-15,15.5900
2016-02-16,15.3000
2016-02-17,15.4500
2016-02-18,15.5800
2016-02-19,15.5900
2016-02-22,15.7300
2016-02-23,15.4800
2016-02-24,15.3100
2016-02-25,15.1600
2016-02-26,15.2800
2016-02-29,15.2600
2016-03-01,15.6600
2016-03-02,15.9700
2016-03-03,16.1300
2016-03-04,16.2000
2016-03-08,16.1600
2016-03-09,16.3000
2016-03-10,16.1700
2016-03-11,16.2000
2016-03-14,16.2500
2016-03-15,16.1900
2016-03-16,16.2100
2016-03-17,16.2900
2016-03-18,16.4800
2016-03-21,16.7500
2016-03-22,16.8200
2016-03-23,16.8100
2016-03-28,16.6200
2016-03-29,16.6600
2016-03-30,16.9400
2016-03-31,16.9700
2016-04-01,16.9400
2016-04-04,17.0200
2016-04-05,16.7000
2016-04-06,16.7500
2016-04-07,16.6600
2016-04-08,16.6700
2016-04-11,16.8600
2016-04-12,16.9600
2016-04-13,17.2000
2016-04-18,17.3300
2016-04-20,17.3000
2016-04-21,17.3000
2016-04-22,17.3100
2016-04-25,17.2200
2016-04-26,17.4100
2016-04-27,17.4000
2016-04-28,17.1600
2016-04-29,17.2300
2016-05-02,17.1800
2016-05-03,17.0500
2016-05-04,16.9300
2016-05-05,16.9400
2016-05-06,16.9700
2016-05-09,17.2000
2016-05-10,17.2300
2016-05-11,17.2100
2016-05-12,17.3200
2016-05-13,17.1900
2016-05-16,17.2100
2016-05-17,17.2400
2016-05-18,17.2000
2016-05-19,17.0600
2016-05-20,16.9600
2016-05-23,16.8800
2016-05-24,16.8800
2016-05-25,17.1900
2016-05-26,17.3700
2016-05-27,17.6200
2016-05-30,17.6600
2016-05-31,17.7000
2016-06-01,17.6900
2016-06-02,17.7800
2016-06-03,17.8000
2016-06-06,17.7800
2016-06-07,17.8700
2016-06-08,17.8800
2016-06-09,17.7900
2016-06-10,17.7000
2016-06-13,17.6300
2016-06-14,17.6100
2016-06-15,17.7600
2016-06-16,17.6400
2016-06-17,17.6600
2016-06-20,17.7900
2016-06-21,17.7700
2016-06-22,17.7100
2016-06-23,17.8700
2016-06-24,17.5200
2016-06-27,17.6000
2016-06-28,17.6600
2016-06-29,17.8400
2016-06-30,17.9700
2016-07-01,18.1400
2016-07-04,18.2200
2016-07-05,18.1500
2016-07-07,18.1100
2016-07-08,18.1200
2016-07-11,18.3800
2016-07-12,18.4700
2016-07-13,18.4100
2016-07-14,18.4800
2016-07-15,18.4500
2016-07-18,18.4200
2016-07-19,18.4800
2016-07-20,18.6200
2016-07-21,18.5800
2016-07-22,18.6500
2016-07-25,18.8600
2016-07-26,18.7800
2016-07-27,18.8900
2016-07-28,19.0300
2016-07-29,19.0700
2016-08-01,19.0800
2016-08-02,19.0100
2016-08-03,18.8800
2016-08-04,18.8500
2016-08-05,19.1700
2016-08-08,19.3000
2016-08-09,19.2200
2016-08-10,18.9700
2016-08-11,18.9500
2016-08-12,19.0800
2016-08-16,19.0700
2016-08-17,19.1100
2016-08-18,19.2400
2016-08-19,19.2800
2016-08-22,19.1800
2016-08-23,19.1500
2016-08-24,19.2600
2016-08-25,19.1600
2016-08-26,19.1700
2016-08-29,19.2300
2016-08-30,19.5000
2016-08-31,19.6700
2016-09-01,19.6500
2016-09-02,19.7200
2016-09-06,20.0500
2016-09-07,20.0000
2016-09-08,20.0500
2016-09-09,19.8500
2016-09-12,19.4900
2016-09-14,19.5900
2016-09-15,19.6100
2016-09-16,19.6300
2016-09-19,19.6800
2016-09-20,19.6800
2016-09-21,19.6600
2016-09-22,19.9400
2016-09-23,19.8700
2016-09-26,19.7000
