date,nav
2015-04-01,164.8990
2015-04-06,165.9930
2015-04-07,165.9890
2015-04-08,167.8420
2015-04-09,168.9080
2015-04-10,168.8470
2015-04-13,169.1640
2015-04-15,167.2960
2015-04-16,165.7090
2015-04-17,163.4730
2015-04-20,160.3030
2015-04-21,159.8770
2015-04-22,160.4130
2015-04-23,159.5840
2015-04-24,156.6320
2015-04-27,154.5070
2015-04-28,156.7630
2015-04-29,156.5890
2015-04-30,156.1060
2015-05-04,157.6940
2015-05-05,157.5480
2015-05-06,152.7530
2015-05-07,150.3800
2015-05-08,152.7040
2015-05-11,155.9210
2015-05-12,152.2010
2015-05-13,154.8020
2015-05-14,155.5890
2015-05-15,156.2380
2015-05-18,158.0900
2015-05-19,158.1110
2015-05-20,158.6160
2015-05-21,158.9610
2015-05-22,158.5840
2015-05-25,157.6650
2015-05-26,157.5010
2015-05-27,157.7280
2015-05-28,157.2950
2015-05-29,160.4780
2015-06-01,159.5270
2015-06-02,155.9620
2015-06-03,154.2360
2015-06-04,155.2270
2015-06-05,155.2000
2015-06-08,153.8710
2015-06-09,153.8890
2015-06-10,155.3210
2015-06-11,152.6750
2015-06-12,152.8250
2015-06-15,152.5800
2015-06-16,153.3080
2015-06-17,153.5980
2015-06-18,155.0090
2015-06-19,155.6340
2015-06-22,157.6940
2015-06-23,158.3350
2015-06-24,157.6130
2015-06-25,158.7290
2015-06-26,158.7160
2015-06-29,157.6890
2015-06-30,158.7910
2015-07-01,160.8650
2015-07-02,161.4320
2015-07-03,162.2520
2015-07-06,163.6510
2015-07-07,164.3330
2015-07-08,162.0230
2015-07-09,161.1200
2015-07-10,162.0660
2015-07-13,163.9640
2015-07-14,164.1300
2015-07-15,165.4550
2015-07-16,167.4530
2015-07-17,167.4680
2015-07-20,168.1290
2015-07-21,165.0730
2015-07-22,166.9020
2015-07-23,166.5690
2015-07-24,165.9850
2015-07-27,162.9450
2015-07-28,163.4680
2015-07-29,164.6410
2015-07-30,165.0870
2015-07-31,166.3230
2015-08-03,166.3990
2015-08-04,166.6570
2015-08-05,167.5100
2015-08-06,168.6190
2015-08-07,168.8860
2015-08-10,168.4800
2015-08-11,167.2240
2015-08-12,163.0770
2015-08-13,163.7600
2015-08-14,166.8280
2015-08-17,166.1200
2015-08-18,167.2820
2015-08-19,167.2780
2015-08-20,164.1510
2015-08-21,162.0620
2015-08-24,151.5770
2015-08-25,153.6270
2015-08-26,152.2000
2015-08-27,154.8410
2015-08-28,155.6690
2015-08-31,155.2780
2015-09-01,151.5090
2015-09-02,150.4960
2015-09-03,152.8640
2015-09-04,149.9300
2015-09-07,147.3810
2015-09-08,149.4950
2015-09-09,152.4660
2015-09-10,152.8500
2015-09-11,152.8340
2015-09-14,154.9000
2015-09-15,153.7050
2015-09-16,153.6010
2015-09-18,155.1510
2015-09-21,155.5660
2015-09-22,152.5240
2015-09-23,153.1570
2015-09-24,153.3230
2015-09-28,151.4950
2015-09-29,152.6950
2015-09-30,153.9120
2015-10-01,154.6110
2015-10-05,157.3850
2015-10-06,157.1470
2015-10-07,156.6940
2015-10-08,155.7960
2015-10-09,155.7380
2015-10-12,155.1280
2015-10-13,154.9820
2015-10-14,154.2920
2015-10-15,156.4150
2015-10-16,157.7320
2015-10-19,158.3780
2015-10-20,159.0440
2015-10-21,158.6460
2015-10-23,158.7190
2015-10-26,158.1230
2015-10-27,158.4000
2015-10-28,157.1210
2015-10-29,155.6510
2015-10-30,154.9660
2015-11-02,155.4950
2015-11-03,155.9960
2015-11-04,156.1320
2015-11-05,154.5940
2015-11-06,154.7500
2015-11-09,155.0030
2015-11-10,152.8650
2015-11-13,153.3110
2015-11-16,153.5730
2015-11-17,153.3210
2015-11-18,152.0730
2015-11-19,154.2760
2015-11-20,155.2570
2015-11-23,155.4200
2015-11-24,154.7320
2015-11-26,154.9770
2015-11-27,155.9650
2015-11-30,155.9460
2015-12-01,156.2030
2015-12-02,155.8130
2015-12-03,154.9880
2015-12-04,153.7180
2015-12-07,153.4770
2015-12-08,152.5420
2015-12-09,150.2120
2015-12-10,151.6770
2015-12-11,150.0860
2015-12-14,150.4700
2015-12-15,151.4800
2015-12-16,152.3390
2015-12-17,153.9630
2015-12-18,152.7950
2015-12-21,153.8590
2015-12-22,152.9880
2015-12-23,154.0610
2015-12-24,153.9840
2015-12-28,154.9200
2015-12-29,155.0180
2015-12-30,154.2910
2015-12-31,155.1400
2016-01-01,156.2220
2016-01-04,152.9910
2016-01-05,152.5650
2016-01-06,152.2720
2016-01-07,148.4990
2016-01-08,149.8700
2016-01-11,149.3920
2016-01-12,148.2590
2016-01-13,148.8280
2016-01-14,147.6930
2016-01-15,145.9120
2016-01-18,142.8760
2016-01-19,144.6650
2016-01-20,142.1670
2016-01-21,141.2980
2016-01-22,143.8850
2016-01-25,143.6340
2016-01-27,143.9520
2016-01-28,143.6320
2016-01-29,145.8440
2016-02-01,145.7360
2016-02-02,143.1100
2016-02-03,141.9490
2016-02-04,142.0990
2016-02-05,144.0490
2016-02-08,141.8820
2016-02-09,139.4660
2016-02-10,138.2820
2016-02-11,133.6870
2016-02-12,133.4360
2016-02-15,137.3330
2016-02-16,135.0710
2016-02-17,136.7910
2016-02-18,137.8090
2016-02-19,137.6330
2016-02-22,138.0540
2016-02-23,136.1460
2016-02-24,134.9830
2016-02-25,133.5480
2016-02-26,134.3710
2016-02-29,133.6560
2016-03-01,138.0390
2016-03-02,140.4250
2016-03-03,141.8180
2016-03-04,142.2820
2016-03-08,142.0870
2016-03-09,143.0100
2016-03-10,141.8570
2016-03-11,142.2790
2016-03-14,142.6780
2016-03-15,142.0740
2016-03-16,142.2620
2016-03-17,143.1580
2016-03-18,144.7890
2016-03-21,146.8960
2016-03-22,147.4170
2016-03-23,147.6700
2016-03-28,145.8050
2016-03-29,146.1150
2016-03-30,148.4740
2016-03-31,149.2360
2016-04-01,149.0340
2016-04-04,149.8040
2016-04-05,147.0490
2016-04-06,147.8080
2016-04-07,146.7350
2016-04-08,146.8020
2016-04-11,148.8930
2016-04-12,150.3690
2016-04-13,152.6160
2016-04-18,154.0340
2016-04-20,153.4050
2016-04-21,152.7250
2016-04-22,152.7690
2016-04-25,152.0010
2016-04-26,154.1140
2016-04-27,154.6450
2016-04-28,152.7610
2016-04-29,153.4960
2016-05-02,153.4200
2016-05-03,152.8400
2016-05-04,151.6570
2016-05-05,151.9460
2016-05-06,151.9780
2016-05-09,153.8430
2016-05-10,154.1570
2016-05-11,154.1240
2016-05-12,154.8170
2016-05-13,153.5370
2016-05-16,153.8960
2016-05-17,154.2390
2016-05-18,153.4780
2016-05-19,152.6130
2016-05-20,151.1230
2016-05-23,150.3740
2016-05-24,149.9400
2016-05-25,152.7530
2016-05-26,154.5260
2016-05-27,157.3130
2016-05-30,157.5870
2016-05-31,158.0780
2016-06-01,157.5120
2016-06-02,158.7340
2016-06-03,159.0490
2016-06-06,158.9200
2016-06-07,159.3150
2016-06-08,159.2760
2016-06-09,158.6210
2016-06-10,157.6270
2016-06-13,156.9670
2016-06-14,157.0920
2016-06-15,159.2350
2016-06-16,158.2870
2016-06-17,158.5490
2016-06-20,159.7050
2016-06-21,159.5560
2016-06-22,158.9290
2016-06-23,160.3860
2016-06-24,157.4010
2016-06-27,158.5010
2016-06-28,159.1290
