date,nav
2015-04-01,26.5400
2015-04-06,26.7800
2015-04-07,26.8300
2015-04-08,27.0300
2015-04-09,27.2300
2015-04-10,27.2800
2015-04-13,27.3800
2015-04-15,27.1500
2015-04-16,27.1100
2015-04-17,26.7000
2015-04-20,26.1700
2015-04-21,25.9700
2015-04-22,26.0100
2015-04-23,25.9800
2015-04-24,25.6700
2015-04-27,25.2800
2015-04-28,25.5500
2015-04-29,25.6000
2015-04-30,25.6000
2015-05-04,25.9400
2015-05-05,25.9500
2015-05-06,25.2900
2015-05-07,25.0600
2015-05-08,25.4500
2015-05-11,25.8700
2015-05-12,25.3600
2015-05-13,25.7300
2015-05-14,25.8500
2015-05-15,26.0000
2015-05-18,26.3000
2015-05-19,26.3400
2015-05-20,26.5100
2015-05-21,26.4500
2015-05-22,26.5700
2015-05-25,26.4900
2015-05-26,26.5000
2015-05-27,26.5500
2015-05-28,26.5100
2015-05-29,26.9800
2015-06-01,26.9000
2015-06-02,26.2100
2015-06-03,25.9100
2015-06-04,25.8600
2015-06-05,25.8700
2015-06-08,25.5500
2015-06-09,25.5100
2015-06-10,25.7900
2015-06-11,25.3600
2015-06-12,25.3200
2015-06-15,25.3800
2015-06-16,25.4200
2015-06-17,25.6500
2015-06-18,25.8600
2015-06-19,26.0100
2015-06-22,26.4100
2015-06-23,26.4900
2015-06-24,26.4700
2015-06-25,26.5300
2015-06-26,26.5400
2015-06-29,26.2400
2015-06-30,26.4700
2015-07-01,26.7500
2015-07-02,26.8300
2015-07-03,26.8900
2015-07-06,27.0000
2015-07-07,26.9800
2015-07-08,26.5800
2015-07-09,26.4300
2015-07-10,26.5000
2015-07-13,26.8000
2015-07-14,26.8100
2015-07-15,26.9900
2015-07-16,27.2600
2015-07-17,27.2700
2015-07-20,27.2300
2015-07-21,27.0100
2015-07-22,27.3400
2015-07-23,27.2300
2015-07-24,27.0200
2015-07-27,26.6300
2015-07-28,26.5400
2015-07-29,26.7100
2015-07-30,26.8900
2015-07-31,27.1800
2015-08-03,27.1300
2015-08-04,27.1400
2015-08-05,27.2900
2015-08-06,27.3100
2015-08-07,27.1500
2015-08-10,27.0400
2015-08-11,26.8300
2015-08-12,26.4100
2015-08-13,26.3400
2015-08-14,26.8700
2015-08-17,26.9300
2015-08-18,26.9200
2015-08-19,26.9800
2015-08-20,26.4800
2015-08-21,26.3300
2015-08-24,24.6500
2015-08-25,24.9300
2015-08-26,24.8000
2015-08-27,25.2300
2015-08-28,25.3800
2015-08-31,25.3200
2015-09-01,24.7800
2015-09-02,24.6300
2015-09-03,24.8900
2015-09-04,24.4600
