date,nav
2015-04-01,15.4800
2015-04-06,15.6100
2015-04-07,15.6300
2015-04-08,15.7300
2015-04-09,15.7600
2015-04-10,15.7700
2015-04-13,15.8800
2015-04-15,15.7000
2015-04-16,15.5800
2015-04-17,15.2500
2015-04-20,14.9500
2015-04-21,14.7700
2015-04-22,14.7900
2015-04-23,14.7900
2015-04-24,14.5100
2015-04-27,14.2500
2015-04-28,14.5000
2015-04-29,14.5900
2015-04-30,14.5800
2015-05-04,14.8200
2015-05-05,14.9000
2015-05-06,14.3800
2015-05-07,14.2100
2015-05-08,14.4500
2015-05-11,14.6600
2015-05-12,14.3600
2015-05-13,14.5600
2015-05-14,14.6400
2015-05-15,14.6700
2015-05-18,14.7500
2015-05-19,14.8000
2015-05-20,14.8100
2015-05-21,14.7800
2015-05-22,14.8300
2015-05-25,14.8700
2015-05-26,14.7700
2015-05-27,14.6700
2015-05-28,14.6300
2015-05-29,14.8600
2015-06-01,14.7300
2015-06-02,14.4200
2015-06-03,14.1500
2015-06-04,14.1900
2015-06-05,14.2400
2015-06-08,14.0800
2015-06-09,14.0200
2015-06-10,14.2700
2015-06-11,14.0100
2015-06-12,14.0000
2015-06-15,14.0400
2015-06-16,14.1300
2015-06-17,14.3300
2015-06-18,14.4800
2015-06-19,14.5400
2015-06-22,14.7900
2015-06-23,14.9100
2015-06-24,14.9100
2015-06-25,14.9300
2015-06-26,14.9100
2015-06-29,14.6400
2015-06-30,14.7600
2015-07-01,14.9700
2015-07-02,15.0200
2015-07-03,15.0500
2015-07-06,15.1800
2015-07-07,15.2200
2015-07-08,15.0100
2015-07-09,15.0600
2015-07-10,15.1600
2015-07-13,15.4300
2015-07-14,15.4500
2015-07-15,15.5100
2015-07-16,15.6700
2015-07-17,15.7000
2015-07-20,15.7400
2015-07-21,15.4800
2015-07-22,15.7000
2015-07-23,15.7300
2015-07-24,15.6600
2015-07-27,15.5300
2015-07-28,15.5400
2015-07-29,15.7100
2015-07-30,15.7600
2015-07-31,15.9500
2015-08-03,16.0200
2015-08-04,16.0400
2015-08-05,16.1300
2015-08-06,16.1800
2015-08-07,16.2200
2015-08-10,16.2400
2015-08-11,16.2200
2015-08-12,15.8700
2015-08-13,15.9000
2015-08-14,16.2200
2015-08-17,16.1800
2015-08-18,16.2900
2015-08-19,16.4100
2015-08-20,16.1100
2015-08-21,16.0000
2015-08-24,14.7200
2015-08-25,15.0400
2015-08-26,14.9100
2015-08-27,15.2700
2015-08-28,15.3200
2015-08-31,15.3000
2015-09-01,14.9700
2015-09-02,14.9000
2015-09-03,15.1000
2015-09-04,14.8100
2015-09-07,14.4900
2015-09-08,14.6800
2015-09-09,14.9700
2015-09-10,14.9100
2015-09-11,14.9400
2015-09-14,15.0800
2015-09-15,14.9700
2015-09-16,14.9600
2015-09-18,15.1200
2015-09-21,15.2400
2015-09-22,15.0400
2015-09-23,15.1300
2015-09-24,15.1400
2015-09-28,15.1100
2015-09-29,15.1900
2015-09-30,15.4000
2015-10-01,15.3600
2015-10-05,15.5900
2015-10-06,15.7000
2015-10-07,15.7100
2015-10-08,15.6100
2015-10-09,15.6600
2015-10-12,15.6500
2015-10-13,15.6100
