date,nav
2015-04-01,350.7510
2015-04-06,352.6970
2015-04-07,353.0160
2015-04-08,355.6670
2015-04-09,358.1830
2015-04-10,359.5810
2015-04-13,361.7660
2015-04-15,359.7220
2015-04-16,358.5080
2015-04-17,354.6060
2015-04-20,348.5320
2015-04-21,347.2670
2015-04-22,348.4550
2015-04-23,346.6820
2015-04-24,341.3240
2015-04-27,337.1000
2015-04-28,342.5450
2015-04-29,340.7380
2015-04-30,339.0360
2015-05-04,344.6660
2015-05-05,344.0780
2015-05-06,333.1830
2015-05-07,328.8450
2015-05-08,333.9410
2015-05-11,341.9490
2015-05-12,332.4700
2015-05-13,338.0160
2015-05-14,339.6430
2015-05-15,341.1600
2015-05-18,345.0480
2015-05-19,344.9220
2015-05-20,346.6040
2015-05-21,345.6690
2015-05-22,345.4420
2015-05-25,342.3210
2015-05-26,341.4600
2015-05-27,341.7510
2015-05-28,341.6920
2015-05-29,346.3540
2015-06-01,347.3300
2015-06-02,338.8720
2015-06-03,334.5100
2015-06-04,335.1380
2015-06-05,333.9970
2015-06-08,330.3290
2015-06-09,330.5290
2015-06-10,334.2380
2015-06-11,327.5430
2015-06-12,328.4450
2015-06-15,328.6250
2015-06-16,330.9030
2015-06-17,332.4710
2015-06-18,335.8320
2015-06-19,337.7930
2015-06-22,343.1000
2015-06-23,345.2090
2015-06-24,342.9560
2015-06-25,344.6860
2015-06-26,343.5500
2015-06-29,339.9420
2015-06-30,341.8910
2015-07-01,346.7080
2015-07-02,346.6030
2015-07-03,347.8930
2015-07-06,350.0190
2015-07-07,350.1060
2015-07-08,344.3120
2015-07-09,343.3860
2015-07-10,345.9380
2015-07-13,349.8720
2015-07-14,349.4890
2015-07-15,351.2300
2015-07-16,354.6640
2015-07-17,355.4590
2015-07-20,354.9410
2015-07-21,353.1590
2015-07-22,357.2780
2015-07-23,356.6410
2015-07-24,352.2180
2015-07-27,345.1360
2015-07-28,344.1390
2015-07-29,345.9010
2015-07-30,348.8720
2015-07-31,354.6150
2015-08-03,357.5400
2015-08-04,358.9160
2015-08-05,360.3600
2015-08-06,361.6910
2015-08-07,360.5380
2015-08-10,359.2200
2015-08-11,354.7590
2015-08-12,346.9690
2015-08-13,346.6190
2015-08-14,354.2610
2015-08-17,356.3710
2015-08-18,357.7540
2015-08-19,357.7560
2015-08-20,350.3410
2015-08-21,347.3760
2015-08-24,321.6960
2015-08-25,326.9040
2015-08-26,323.7310
2015-08-27,331.2500
2015-08-28,332.7590
2015-08-31,330.6340
2015-09-01,322.1000
2015-09-02,318.3130
2015-09-03,323.4500
2015-09-04,316.4460
2015-09-07,311.6390
2015-09-08,318.7910
2015-09-09,324.6410
2015-09-10,323.7570
2015-09-11,323.5960
2015-09-14,328.2170
2015-09-15,325.1280
2015-09-16,327.5830
2015-09-18,331.5620
2015-09-21,332.8440
2015-09-22,325.5050
2015-09-23,327.2070
2015-09-24,327.5150
2015-09-28,323.5370
2015-09-29,325.5410
2015-09-30,328.5660
2015-10-01,327.7900
2015-10-05,335.2860
2015-10-06,336.0360
2015-10-07,336.8270
2015-10-08,335.2510
2015-10-09,337.8820
2015-10-12,336.6890
2015-10-13,336.0960
2015-10-14,335.0650
2015-10-15,339.5550
2015-10-16,343.0570
2015-10-19,343.9160
2015-10-20,344.3150
2015-10-21,343.3190
2015-10-23,344.6430
2015-10-26,343.1670
2015-10-27,342.6280
2015-10-28,339.3860
2015-10-29,336.1050
2015-10-30,333.9040
2015-11-02,334.0620
2015-11-03,334.3600
2015-11-04,334.3310
2015-11-05,330.4210
2015-11-06,331.4160
2015-11-09,332.6140
2015-11-10,327.9240
2015-11-13,328.9070
2015-11-16,330.9700
2015-11-17,330.7580
2015-11-18,325.7920
2015-11-19,330.5020
2015-11-20,332.0240
2015-11-23,331.9010
2015-11-24,330.5810
2015-11-26,332.0630
2015-11-27,335.7250
2015-11-30,336.3880
2015-12-01,336.5890
2015-12-02,334.8640
2015-12-03,331.9070
2015-12-04,328.7730
2015-12-07,327.2470
2015-12-08,324.3200
2015-12-09,319.8120
2015-12-10,322.0800
2015-12-11,318.3300
2015-12-14,319.3920
2015-12-15,321.3440
2015-12-16,323.4510
2015-12-17,327.1940
2015-12-18,323.8520
2015-12-21,326.9270
2015-12-22,325.2630
2015-12-23,328.5780
2015-12-24,328.5260
2015-12-28,330.3690
2015-12-29,330.4830
2015-12-30,328.5940
2015-12-31,329.7520
2016-01-01,331.9150
2016-01-04,324.0550
2016-01-05,324.4900
2016-01-06,322.5090
2016-01-07,313.0030
2016-01-08,315.0710
2016-01-11,313.1160
2016-01-12,310.4140
2016-01-13,311.3540
2016-01-14,308.8230
2016-01-15,302.5600
2016-01-18,298.3320
2016-01-19,302.0470
2016-01-20,295.1660
2016-01-21,294.0290
2016-01-22,301.1680
2016-01-25,301.2990
2016-01-27,302.6460
2016-01-28,301.1950
2016-01-29,304.6150
2016-02-01,302.4750
2016-02-02,297.4700
2016-02-03,291.1600
2016-02-04,292.8000
2016-02-05,296.5440
2016-02-08,294.0860
2016-02-09,288.8350
2016-02-10,284.2630
2016-02-11,274.9350
2016-02-12,274.2800
2016-02-15,285.7720
2016-02-16,278.8860
2016-02-17,281.8530
2016-02-18,284.1770
2016-02-19,285.0090
2016-02-22,285.2950
2016-02-23,280.5660
2016-02-24,277.2820
2016-02-25,272.6550
2016-02-26,275.5470
2016-02-29,274.9630
2016-03-01,285.2530
2016-03-02,293.3630
2016-03-03,297.8040
2016-03-04,300.2810
2016-03-08,299.2300
2016-03-09,301.7860
2016-03-10,299.3460
2016-03-11,299.6620
2016-03-14,302.2460
2016-03-15,300.5660
2016-03-16,301.9430
2016-03-17,303.2250
2016-03-18,307.0280
2016-03-21,311.9010
2016-03-22,312.6330
2016-03-23,313.4540
2016-03-28,307.6370
2016-03-29,307.7750
2016-03-30,315.0010
2016-03-31,315.2040
2016-04-01,315.5330
2016-04-04,316.9230
2016-04-05,309.0530
2016-04-06,309.9780
2016-04-07,307.2810
2016-04-08,308.2050
2016-04-11,313.8470
2016-04-12,315.6390
2016-04-13,320.7170
2016-04-18,322.8000
2016-04-20,324.2060
2016-04-21,325.9850
2016-04-22,327.5900
2016-04-25,325.4080
2016-04-26,329.9560
2016-04-27,328.8250
2016-04-28,323.9510
2016-04-29,323.9790
2016-05-02,322.1900
2016-05-03,320.2920
2016-05-04,316.2360
2016-05-05,317.3290
2016-05-06,317.8390
2016-05-09,322.9580
2016-05-10,323.2970
2016-05-11,321.6070
2016-05-12,323.7620
2016-05-13,322.6380
2016-05-16,321.8190
2016-05-17,322.7030
2016-05-18,323.1750
2016-05-19,318.7270
2016-05-20,316.9770
2016-05-23,315.4590
2016-05-24,315.2940
2016-05-25,323.2500
2016-05-26,330.2410
2016-05-27,334.6260
2016-05-30,335.8020
2016-05-31,338.5980
2016-06-01,337.0010
2016-06-02,339.3080
2016-06-03,339.0180
2016-06-06,338.9140
2016-06-07,341.9430
2016-06-08,343.3470
2016-06-09,341.8620
2016-06-10,339.9090
2016-06-13,336.3970
2016-06-14,337.5480
2016-06-15,342.8570
2016-06-16,340.8070
2016-06-17,341.4300
2016-06-20,344.7860
2016-06-21,343.8690
2016-06-22,342.9140
2016-06-23,345.4760
2016-06-24,336.0210
2016-06-27,337.7260
2016-06-28,338.7730
2016-06-29,342.0480
2016-06-30,346.2570
2016-07-01,348.6890
2016-07-04,352.5150
2016-07-05,351.3110
2016-07-07,350.0440
2016-07-08,349.4320
2016-07-11,356.5350
2016-07-12,359.6360
2016-07-13,359.1760
2016-07-14,363.0420
2016-07-15,362.0410
2016-07-18,359.6030
2016-07-19,361.7980
2016-07-20,363.3380
2016-07-21,359.6400
2016-07-22,361.9820
2016-07-25,366.9380
2016-07-26,365.0450
2016-07-27,367.6830
2016-07-28,368.3500
2016-07-29,366.4770
