date,nav
2015-04-01,30.2700
2015-04-06,30.4100
2015-04-07,30.4400
2015-04-08,30.6900
2015-04-09,30.9200
2015-04-10,30.9800
2015-04-13,31.0500
2015-04-15,30.7700
2015-04-16,30.6700
2015-04-17,30.3700
2015-04-20,29.7900
2015-04-21,29.6000
2015-04-22,29.6300
2015-04-23,29.5100
2015-04-24,29.1000
2015-04-27,28.8000
2015-04-28,29.2100
2015-04-29,29.2200
2015-04-30,29.1200
2015-05-04,29.6200
2015-05-05,29.5700
2015-05-06,28.7600
2015-05-07,28.4600
2015-05-08,28.9100
2015-05-11,29.4000
2015-05-12,28.7300
2015-05-13,29.2500
2015-05-14,29.2700
2015-05-15,29.3600
2015-05-18,29.7100
2015-05-19,29.7000
2015-05-20,29.8300
2015-05-21,29.8400
2015-05-22,29.9100
2015-05-25,29.7400
2015-05-26,29.6200
2015-05-27,29.5400
2015-05-28,29.4800
2015-05-29,29.9300
2015-06-01,29.8800
2015-06-02,29.2600
2015-06-03,28.9800
2015-06-04,29.0400
2015-06-05,28.9400
2015-06-08,28.6900
2015-06-09,28.6800
2015-06-10,29.0700
2015-06-11,28.5200
2015-06-12,28.5600
2015-06-15,28.6400
2015-06-16,28.7600
2015-06-17,28.8700
2015-06-18,29.1300
2015-06-19,29.3100
2015-06-22,29.6900
2015-06-23,29.7600
2015-06-24,29.6600
2015-06-25,29.7500
2015-06-26,29.7100
2015-06-29,29.4300
2015-06-30,29.5600
2015-07-01,29.9200
2015-07-02,29.9400
2015-07-03,30.0900
2015-07-06,30.2700
2015-07-07,30.2600
2015-07-08,29.8200
2015-07-09,29.7400
2015-07-10,29.8900
2015-07-13,30.2100
2015-07-14,30.1900
2015-07-15,30.4000
2015-07-16,30.6600
2015-07-17,30.7400
2015-07-20,30.7300
2015-07-21,30.5800
2015-07-22,30.8900
2015-07-23,30.9000
2015-07-24,30.6300
2015-07-27,30.0500
2015-07-28,30.0200
2015-07-29,30.2100
2015-07-30,30.4600
2015-07-31,30.8400
2015-08-03,30.9100
2015-08-04,30.9700
2015-08-05,31.1700
2015-08-06,31.1300
