date,nav
2015-04-01,22.1000
2015-04-06,22.2700
2015-04-07,22.2600
2015-04-08,22.3400
2015-04-09,22.4800
2015-04-10,22.4700
2015-04-13,22.6100
2015-04-15,22.3700
2015-04-16,22.2000
2015-04-17,21.7900
2015-04-20,21.4100
2015-04-21,21.1300
2015-04-22,21.2800
2015-04-23,21.2700
2015-04-24,21.0900
2015-04-27,20.8500
2015-04-28,21.0100
2015-04-29,20.9500
2015-04-30,20.8200
2015-05-04,21.1400
2015-05-05,21.2000
2015-05-06,20.6300
2015-05-07,20.5000
2015-05-08,20.7600
2015-05-11,21.0900
2015-05-12,20.7700
2015-05-13,21.0100
2015-05-14,20.9900
2015-05-15,21.0900
2015-05-18,21.3700
2015-05-19,21.3400
2015-05-20,21.4700
2015-05-21,21.4900
2015-05-22,21.6000
2015-05-25,21.4400
2015-05-26,21.4400
2015-05-27,21.4700
2015-05-28,21.4300
2015-05-29,21.7600
2015-06-01,21.7000
2015-06-02,21.2400
2015-06-03,21.1500
2015-06-04,21.2000
2015-06-05,21.1800
2015-06-08,21.0100
2015-06-09,20.9300
2015-06-10,21.1100
2015-06-11,20.7200
2015-06-12,20.7500
2015-06-15,20.7900
2015-06-16,20.8100
2015-06-17,20.8800
2015-06-18,21.0800
2015-06-19,21.2300
2015-06-22,21.5300
2015-06-23,21.5600
2015-06-24,21.5300
2015-06-25,21.6300
2015-06-26,21.6200
2015-06-29,21.4700
2015-06-30,21.6200
2015-07-01,21.8400
2015-07-02,21.8400
2015-07-03,21.9600
2015-07-06,22.0900
2015-07-07,22.0700
2015-07-08,21.7500
2015-07-09,21.6500
2015-07-10,21.7000
2015-07-13,21.9800
2015-07-14,22.0700
2015-07-15,22.2600
2015-07-16,22.5100
2015-07-17,22.4700
2015-07-20,22.4700
2015-07-21,22.3200
2015-07-22,22.5000
2015-07-23,22.4000
2015-07-24,22.3500
2015-07-27,21.9700
2015-07-28,21.9000
2015-07-29,22.0400
2015-07-30,22.1200
2015-07-31,22.3300
2015-08-03,22.2600
2015-08-04,22.1600
2015-08-05,22.3100
