date,nav
2015-04-01,177.8760
2015-04-06,178.9310
2015-04-07,178.9770
2015-04-08,180.0920
2015-04-09,181.5480
2015-04-10,181.2190
2015-04-13,181.6680
2015-04-15,180.2960
2015-04-16,179.1850
2015-04-17,176.1080
2015-04-20,173.1400
2015-04-21,172.1970
2015-04-22,172.9840
2015-04-23,172.8710
2015-04-24,170.6150
2015-04-27,168.4630
2015-04-28,170.9360
2015-04-29,170.8470
2015-04-30,170.6050
2015-05-04,173.1250
2015-05-05,172.9130
2015-05-06,167.9720
2015-05-07,165.9160
2015-05-08,169.0190
2015-05-11,172.2070
2015-05-12,168.1570
2015-05-13,170.9910
2015-05-14,170.9600
2015-05-15,172.1200
2015-05-18,174.0620
2015-05-19,173.9290
2015-05-20,175.0270
2015-05-21,174.9700
2015-05-22,175.5230
2015-05-25,174.2620
2015-05-26,173.9860
2015-05-27,173.9290
2015-05-28,174.1340
2015-05-29,176.3850
2015-06-01,176.4130
2015-06-02,172.5390
2015-06-03,170.7540
2015-06-04,171.2170
2015-06-05,170.6560
2015-06-08,168.9580
2015-06-09,168.7420
2015-06-10,170.7850
2015-06-11,167.5850
2015-06-12,167.7370
2015-06-15,168.3720
2015-06-16,169.2090
2015-06-17,170.1210
2015-06-18,171.8390
2015-06-19,172.5130
2015-06-22,175.2980
2015-06-23,175.4230
2015-06-24,174.9180
2015-06-25,175.5250
2015-06-26,175.7550
2015-06-29,174.5970
2015-06-30,175.5880
2015-07-01,177.7500
2015-07-02,177.3790
2015-07-03,178.2210
2015-07-06,178.9000
2015-07-07,179.0140
2015-07-08,176.4650
2015-07-09,175.9940
2015-07-10,176.9820
2015-07-13,179.0120
2015-07-14,178.7760
2015-07-15,180.2170
2015-07-16,182.1060
2015-07-17,182.4960
2015-07-20,182.7000
2015-07-21,181.5670
2015-07-22,183.3920
2015-07-23,183.1340
2015-07-24,181.8090
2015-07-27,178.8780
2015-07-28,178.8780
2015-07-29,180.1000
2015-07-30,180.7620
2015-07-31,183.0620
2015-08-03,183.5850
2015-08-04,183.6210
2015-08-05,184.6690
2015-08-06,185.2630
2015-08-07,184.9320
2015-08-10,184.3170
2015-08-11,183.1040
2015-08-12,180.6060
2015-08-13,181.0210
2015-08-14,184.0140
2015-08-17,183.4610
2015-08-18,184.3020
2015-08-19,184.8320
2015-08-20,181.7510
2015-08-21,180.2460
2015-08-24,169.2900
2015-08-25,170.8170
2015-08-26,169.0310
2015-08-27,172.3880
2015-08-28,173.2370
2015-08-31,171.9320
2015-09-01,168.4690
2015-09-02,167.4410
2015-09-03,169.7000
2015-09-04,166.0650
2015-09-07,163.5870
2015-09-08,166.4930
2015-09-09,169.5390
2015-09-10,169.4200
2015-09-11,169.6600
2015-09-14,171.3670
2015-09-15,170.3030
2015-09-16,171.6960
2015-09-18,173.8580
2015-09-21,174.5110
2015-09-22,171.3060
2015-09-23,171.8710
2015-09-24,172.5910
2015-09-28,170.9800
2015-09-29,171.9910
2015-09-30,174.0580
2015-10-01,174.2250
2015-10-05,177.6660
2015-10-06,177.6580
2015-10-07,177.3530
2015-10-08,176.3870
2015-10-09,177.2860
2015-10-12,176.4290
2015-10-13,176.1610
2015-10-14,175.8950
