date,nav
2015-04-01,33.5910
2015-04-06,33.8220
2015-04-07,33.8790
2015-04-08,34.2200
2015-04-09,34.3790
2015-04-10,34.3690
2015-04-13,34.5170
2015-04-15,34.2360
2015-04-16,33.9460
2015-04-17,33.4930
2015-04-20,32.8800
2015-04-21,32.6470
2015-04-22,32.7860
2015-04-23,32.7370
2015-04-24,32.3420
2015-04-27,31.8540
2015-04-28,32.3200
2015-04-29,32.3020
2015-04-30,32.1810
2015-05-04,32.5780
2015-05-05,32.5230
2015-05-06,31.5740
2015-05-07,31.2720
2015-05-08,31.8240
2015-05-11,32.3300
2015-05-12,31.6710
2015-05-13,32.0790
2015-05-14,32.2210
2015-05-15,32.4300
2015-05-18,32.7460
2015-05-19,32.7570
2015-05-20,32.9370
2015-05-21,32.9190
2015-05-22,33.0570
2015-05-25,32.8490
2015-05-26,32.8470
2015-05-27,32.8230
2015-05-28,32.7290
2015-05-29,33.2560
2015-06-01,33.2260
2015-06-02,32.4440
2015-06-03,32.0710
2015-06-04,32.1160
2015-06-05,32.0980
2015-06-08,31.7480
2015-06-09,31.7330
2015-06-10,32.1270
2015-06-11,31.5820
2015-06-12,31.6200
2015-06-15,31.6770
2015-06-16,31.8860
2015-06-17,32.1210
2015-06-18,32.5280
2015-06-19,32.6990
2015-06-22,33.1610
2015-06-23,33.2620
2015-06-24,33.1390
2015-06-25,33.3230
2015-06-26,33.3380
2015-06-29,32.9860
2015-06-30,33.2270
2015-07-01,33.6080
2015-07-02,33.6870
2015-07-03,33.7360
2015-07-06,33.9430
2015-07-07,34.0380
2015-07-08,33.5260
2015-07-09,33.4660
2015-07-10,33.5870
2015-07-13,34.0070
2015-07-14,34.0090
2015-07-15,34.2670
2015-07-16,34.6450
2015-07-17,34.6810
2015-07-20,34.7110
2015-07-21,34.2520
2015-07-22,34.7170
2015-07-23,34.6720
2015-07-24,34.4430
2015-07-27,33.8520
2015-07-28,33.8410
2015-07-29,34.1030
2015-07-30,34.3230
2015-07-31,34.6970
2015-08-03,34.8240
2015-08-04,34.8120
2015-08-05,35.0340
2015-08-06,35.0590
2015-08-07,35.0440
2015-08-10,34.9310
2015-08-11,34.6760
2015-08-12,34.0080
2015-08-13,34.0650
2015-08-14,34.8800
2015-08-17,34.8720
2015-08-18,35.0090
2015-08-19,35.1930
2015-08-20,34.6580
2015-08-21,34.3510
2015-08-24,32.0710
2015-08-25,32.5070
2015-08-26,32.2520
2015-08-27,32.8830
2015-08-28,33.0200
2015-08-31,32.8330
2015-09-01,32.0540
2015-09-02,31.8640
2015-09-03,32.2990
2015-09-04,31.5700
2015-09-07,31.0730
2015-09-08,31.5680
2015-09-09,32.1720
2015-09-10,32.1170
2015-09-11,32.1490
2015-09-14,32.4900
2015-09-15,32.3760
2015-09-16,32.4770
2015-09-18,32.8030
2015-09-21,32.8700
2015-09-22,32.2920
2015-09-23,32.4690
2015-09-24,32.6050
2015-09-28,32.3060
2015-09-29,32.5100
2015-09-30,32.9400
2015-10-01,32.9400
2015-10-05,33.4910
2015-10-06,33.5690
2015-10-07,33.5200
2015-10-08,33.3120
2015-10-09,33.3890
2015-10-12,33.3090
2015-10-13,33.2510
2015-10-14,33.1980
2015-10-15,33.5100
2015-10-16,33.8230
2015-10-19,34.0630
2015-10-20,34.0900
2015-10-21,33.9490
2015-10-23,33.9760
2015-10-26,33.7720
2015-10-27,33.7860
2015-10-28,33.4750
2015-10-29,33.1840
2015-10-30,33.0710
2015-11-02,33.0460
2015-11-03,33.0340
2015-11-04,32.9020
2015-11-05,32.5500
2015-11-06,32.5710
2015-11-09,32.5430
2015-11-10,32.0690
2015-11-13,32.1050
2015-11-16,32.2680
2015-11-17,32.3500
2015-11-18,32.0430
2015-11-19,32.5240
2015-11-20,32.6550
2015-11-23,32.6870
2015-11-24,32.6160
2015-11-26,32.7760
2015-11-27,33.0200
2015-11-30,33.0240
2015-12-01,33.0920
2015-12-02,33.0120
2015-12-03,32.7330
2015-12-04,32.4790
2015-12-07,32.5260
2015-12-08,32.3220
2015-12-09,31.8570
2015-12-10,32.1450
2015-12-11,31.9110
2015-12-14,32.0150
2015-12-15,32.2140
2015-12-16,32.3850
2015-12-17,32.8700
2015-12-18,32.5720
2015-12-21,32.8200
2015-12-22,32.7080
2015-12-23,33.0080
2015-12-24,33.0050
2015-12-28,33.1830
2015-12-29,33.2030
2015-12-30,33.1010
2015-12-31,33.2670
2016-01-01,33.4030
2016-01-04,32.7880
2016-01-05,32.8010
2016-01-06,32.7030
2016-01-07,31.9220
2016-01-08,32.1790
2016-01-11,31.9740
2016-01-12,31.7050
2016-01-13,31.9180
2016-01-14,31.6370
2016-01-15,31.1420
2016-01-18,30.5380
2016-01-19,30.8830
2016-01-20,30.3200
2016-01-21,30.2570
2016-01-22,30.8500
2016-01-25,30.9600
2016-01-27,31.0210
2016-01-28,30.9850
2016-01-29,31.3890
2016-02-01,31.3110
2016-02-02,30.7700
2016-02-03,30.3140
2016-02-04,30.3980
2016-02-05,30.6800
2016-02-08,30.3710
2016-02-09,29.9610
2016-02-10,29.6530
2016-02-11,28.6590
2016-02-12,28.5750
2016-02-15,29.3540
2016-02-16,28.8290
2016-02-17,29.1110
2016-02-18,29.3090
2016-02-19,29.3460
2016-02-22,29.5580
2016-02-23,29.1170
2016-02-24,28.8440
2016-02-25,28.5370
2016-02-26,28.7570
2016-02-29,28.7510
2016-03-01,29.6040
2016-03-02,30.2910
2016-03-03,30.6860
2016-03-04,30.7960
2016-03-08,30.7500
2016-03-09,30.8970
2016-03-10,30.7180
2016-03-11,30.8140
2016-03-14,31.0040
2016-03-15,30.8210
2016-03-16,30.8770
2016-03-17,31.0350
2016-03-18,31.3740
2016-03-21,31.8230
2016-03-22,31.8530
2016-03-23,31.8080
2016-03-28,31.3220
2016-03-29,31.3510
2016-03-30,31.8750
2016-03-31,32.0340
2016-04-01,31.9880
2016-04-04,32.0920
2016-04-05,31.4970
2016-04-06,31.6240
2016-04-07,31.3600
2016-04-08,31.3850
2016-04-11,31.8110
2016-04-12,32.0610
2016-04-13,32.5960
2016-04-18,32.9380
2016-04-20,32.9500
2016-04-21,33.1040
2016-04-22,33.0530
2016-04-25,32.8980
2016-04-26,33.2940
2016-04-27,33.3180
2016-04-28,32.8110
2016-04-29,32.8480
2016-05-02,32.7650
2016-05-03,32.6020
2016-05-04,32.3010
2016-05-05,32.3230
2016-05-06,32.4100
2016-05-09,32.8550
2016-05-10,32.8990
2016-05-11,32.8760
2016-05-12,33.1290
2016-05-13,32.9030
2016-05-16,33.0470
2016-05-17,33.1550
2016-05-18,33.0760
2016-05-19,32.7590
2016-05-20,32.5460
2016-05-23,32.4490
2016-05-24,32.4160
2016-05-25,33.1780
2016-05-26,33.6600
2016-05-27,34.0790
2016-05-30,34.1460
2016-05-31,34.1350
2016-06-01,34.1460
2016-06-02,34.3770
2016-06-03,34.4310
2016-06-06,34.3640
2016-06-07,34.6900
2016-06-08,34.7690
2016-06-09,34.5730
2016-06-10,34.3780
2016-06-13,34.1560
2016-06-14,34.1980
2016-06-15,34.6410
2016-06-16,34.3870
2016-06-17,34.4510
2016-06-20,34.6250
2016-06-21,34.5390
2016-06-22,34.4900
2016-06-23,34.8090
2016-06-24,34.0990
2016-06-27,34.2290
2016-06-28,34.3820
2016-06-29,34.6330
2016-06-30,35.0060
2016-07-01,35.1770
2016-07-04,35.4040
2016-07-05,35.2580
2016-07-07,35.2500
2016-07-08,35.1850
2016-07-11,35.7360
2016-07-12,36.0100
2016-07-13,35.9120
2016-07-14,36.1850
2016-07-15,36.1580
2016-07-18,35.9930
2016-07-19,36.1240
2016-07-20,36.3310
2016-07-21,36.1990
2016-07-22,36.3750
2016-07-25,36.8540
2016-07-26,36.6000
2016-07-27,36.9090
2016-07-28,37.1390
2016-07-29,37.1480
2016-08-01,37.1860
2016-08-02,37.0590
2016-08-03,36.6290
2016-08-04,36.7320
2016-08-05,37.3530
2016-08-08,37.5020
2016-08-09,37.3100
2016-08-10,36.8190
2016-08-11,36.8460
2016-08-12,37.1290
2016-08-16,37.2100
2016-08-17,37.2600
2016-08-18,37.5900
2016-08-19,37.6550
2016-08-22,37.3900
2016-08-23,37.3540
2016-08-24,37.5440
2016-08-25,37.2670
2016-08-26,37.1620
2016-08-29,37.3020
2016-08-30,37.7870
2016-08-31,38.0050
2016-09-01,37.9350
2016-09-02,38.1470
2016-09-06,38.7250
2016-09-07,38.7200
2016-09-08,38.9210
2016-09-09,38.6310
2016-09-12,37.8490
2016-09-14,37.9710
2016-09-15,38.0570
2016-09-16,38.1330
2016-09-19,38.3560
2016-09-20,38.1920
2016-09-21,38.1480
2016-09-22,38.5890
2016-09-23,38.4880
2016-09-26,38.1460
2016-09-27,38.0530
2016-09-28,38.2850
2016-09-29,37.4310
2016-09-30,37.7240
2016-10-03,38.4370
2016-10-04,38.6440
2016-10-05,38.6840
2016-10-06,38.6210
2016-10-07,38.5990
2016-10-10,38.6290
2016-10-13,37.9950
2016-10-14,38.2120
2016-10-17,37.9300
2016-10-18,38.5620
2016-10-19,38.5790
2016-10-20,38.7750
