date,nav
2016-03-08,120.5500
2016-03-09,121.2600
2016-03-10,120.7200
2016-03-11,121.1300
2016-03-14,121.5500
2016-03-15,120.2100
2016-03-16,120.8600
2016-03-17,121.1000
2016-03-18,122.5500
2016-03-21,124.2800
2016-03-22,124.5600
2016-03-23,124.4300
2016-03-28,122.7900
2016-03-29,122.4800
2016-03-30,124.6100
2016-03-31,124.7900
2016-04-01,124.3000
2016-04-04,124.8600
2016-04-05,122.5700
2016-04-06,122.7500
2016-04-07,121.5700
2016-04-08,121.5300
2016-04-11,123.0200
2016-04-12,123.6500
2016-04-13,125.8400
2016-04-18,127.1000
2016-04-20,127.1700
2016-04-21,127.2000
2016-04-22,127.0200
2016-04-25,126.3500
2016-04-26,128.0700
2016-04-27,127.9700
2016-04-28,125.8200
2016-04-29,125.9200
2016-05-02,125.3200
2016-05-03,124.2900
2016-05-04,123.6200
2016-05-05,124.1100
2016-05-06,123.8700
2016-05-09,125.9200
2016-05-10,126.3200
2016-05-11,125.9500
2016-05-12,127.0400
2016-05-13,125.6400
2016-05-16,126.1600
2016-05-17,126.8500
2016-05-18,126.4300
2016-05-19,125.1200
2016-05-20,124.4400
2016-05-23,123.8500
2016-05-24,124.2100
2016-05-25,127.0700
2016-05-26,129.1000
2016-05-27,130.7400
2016-05-30,131.0200
2016-05-31,130.8100
2016-06-01,130.9300
2016-06-02,131.5300
2016-06-03,131.6500
2016-06-06,131.4800
2016-06-07,132.6100
2016-06-08,132.6600
2016-06-09,131.8100
2016-06-10,131.1000
2016-06-13,130.2200
2016-06-14,130.1700
2016-06-15,131.6600
2016-06-16,130.8100
2016-06-17,131.0600
2016-06-20,132.0900
2016-06-21,131.8500
2016-06-22,131.5600
2016-06-23,132.7000
2016-06-24,129.7400
2016-06-27,129.8400
2016-06-28,130.3700
2016-06-29,131.9500
2016-06-30,133.1600
2016-07-01,133.7200
2016-07-04,134.5400
2016-07-05,134.0600
2016-07-07,134.1000
2016-07-08,134.0700
2016-07-11,136.2900
2016-07-12,137.1500
2016-07-13,137.0100
2016-07-14,137.6600
2016-07-15,137.4900
2016-07-18,137.0500
2016-07-19,137.3000
2016-07-20,137.7800
2016-07-21,136.9300
2016-07-22,137.5200
2016-07-25,139.1200
2016-07-26,138.6500
2016-07-27,139.0800
2016-07-28,139.8900
2016-07-29,139.6200
2016-08-01,139.6600
2016-08-02,139.3700
2016-08-03,138.1000
2016-08-04,138.1500
2016-08-05,140.2500
2016-08-08,140.8000
2016-08-09,140.4500
2016-08-10,138.7600
2016-08-11,139.1500
2016-08-12,140.2800
2016-08-16,139.7500
2016-08-17,139.3100
2016-08-18,140.1900
2016-08-19,140.1200
2016-08-22,139.5800
2016-08-23,139.5400
2016-08-24,139.8300
2016-08-25,138.9700
2016-08-26,138.6000
2016-08-29,139.2900
2016-08-30,141.4500
2016-08-31,142.3000
2016-09-01,142.5000
2016-09-02,142.9700
2016-09-06,145.1700
2016-09-07,144.7600
2016-09-08,145.5700
2016-09-09,144.1900
2016-09-12,141.8700
2016-09-14,141.9700
2016-09-15,142.3200
2016-09-16,142.7900
2016-09-19,143.1700
2016-09-20,142.6500
2016-09-21,142.5200
2016-09-22,143.9400
2016-09-23,143.4800
2016-09-26,141.8100
2016-09-27,141.5600
2016-09-28,142.0700
2016-09-29,139.8700
2016-09-30,140.1400
2016-10-03,142.3000
2016-10-04,142.6100
2016-10-05,142.2500
2016-10-06,141.6500
2016-10-07,141.4900
2016-10-10,141.7000
2016-10-13,139.6700
2016-10-14,139.7600
2016-10-17,138.7800
2016-10-18,141.1900
2016-10-19,140.6700
2016-10-20,141.1900
2016-10-21,141.1700
2016-10-24,141.3800
2016-10-25,140.9100
2016-10-26,139.6600
2016-10-27,139.5700
2016-10-28,140.0500
2016-11-01,139.7200
2016-11-02,137.9600
2016-11-03,137.5600
2016-11-04,137.0100
2016-11-07,137.6700
2016-11-08,138.5000
2016-11-09,136.2200
2016-11-10,137.0600
2016-11-11,133.4300
2016-11-15,129.8600
2016-11-16,130.5400
2016-11-17,129.8000
2016-11-18,129.6400
2016-11-21,127.3600
2016-11-22,128.8300
2016-11-23,129.5500
2016-11-24,128.5100
2016-11-25,130.7200
2016-11-28,130.8200
2016-11-29,131.3500
2016-11-30,132.8000
2016-12-01,132.1700
2016-12-02,130.3300
2016-12-05,131.2700
2016-12-06,131.3900
2016-12-07,130.8000
2016-12-08,133.0000
2016-12-09,133.2400
2016-12-12,131.6000
2016-12-13,132.0300
2016-12-14,131.5800
2016-12-15,131.1800
2016-12-16,131.1200
2016-12-19,130.3700
2016-12-20,130.0100
2016-12-21,129.8000
2016-12-22,128.5500
2016-12-23,128.8500
2016-12-26,127.6400
2016-12-27,129.5600
2016-12-28,129.6300
2016-12-29,130.7300
2016-12-30,131.9500
2017-01-02,131.8100
2017-01-03,132.0000
2017-01-04,131.8700
2017-01-05,133.2100
2017-01-06,132.8900
2017-01-09,132.7300
2017-01-10,133.6700
2017-01-11,135.2900
2017-01-12,135.6800
2017-01-13,135.4900
2017-01-16,135.7900
2017-01-17,135.7100
2017-01-18,136.1300
2017-01-19,136.2500
2017-01-20,134.9000
2017-01-23,135.6800
2017-01-24,137.0100
2017-01-25,139.2800
2017-01-27,139.7900
2017-01-30,139.4000
2017-01-31,138.5200
2017-02-01,141.0500
2017-02-02,141.1100
2017-02-03,141.1600
2017-02-06,142.0300
2017-02-07,141.6500
2017-02-08,141.5500
2017-02-09,141.6500
2017-02-10,141.8700
2017-02-13,142.1400
2017-02-14,141.7000
2017-02-15,140.8400
2017-02-16,141.5700
2017-02-17,142.5900
2017-02-20,143.4600
2017-02-21,144.0300
2017-02-22,144.5900
2017-02-23,144.8200
2017-02-27,144.1500
2017-02-28,143.8900
