date,nav
2015-04-01,64.6700
2015-04-06,64.9800
2015-04-07,65.0900
2015-04-08,65.3800
2015-04-09,65.6600
2015-04-10,65.6300
2015-04-13,65.9200
2015-04-15,65.4100
2015-04-16,64.9700
2015-04-17,64.0900
2015-04-20,62.9400
2015-04-21,62.6900
2015-04-22,62.8500
2015-04-23,62.7200
2015-04-24,61.6500
2015-04-27,60.6100
2015-04-28,61.5200
2015-04-29,61.4800
2015-04-30,61.5100
2015-05-04,62.5400
2015-05-05,62.7500
2015-05-06,60.8100
2015-05-07,59.9100
2015-05-08,61.0300
2015-05-11,62.1300
2015-05-12,60.6500
2015-05-13,61.5900
2015-05-14,61.9700
2015-05-15,62.4300
2015-05-18,63.0100
2015-05-19,63.0100
2015-05-20,63.2300
2015-05-21,63.0900
2015-05-22,63.3700
2015-05-25,63.1200
2015-05-26,63.1500
2015-05-27,63.2400
2015-05-28,63.1800
2015-05-29,64.0900
2015-06-01,63.9700
2015-06-02,62.5200
2015-06-03,61.7200
2015-06-04,62.0600
2015-06-05,62.1400
2015-06-08,61.4100
2015-06-09,61.5200
2015-06-10,62.2500
2015-06-11,61.0800
2015-06-12,61.3600
2015-06-15,61.5400
2015-06-16,61.7800
2015-06-17,62.2400
2015-06-18,63.0100
2015-06-19,63.3500
2015-06-22,64.2700
2015-06-23,64.4500
2015-06-24,63.9300
2015-06-25,64.2600
2015-06-26,64.0000
2015-06-29,63.3700
2015-06-30,63.7100
2015-07-01,64.6000
2015-07-02,64.8100
2015-07-03,65.0200
2015-07-06,65.4000
2015-07-07,65.5500
2015-07-08,64.6900
2015-07-09,64.5700
2015-07-10,64.7900
2015-07-13,65.6100
2015-07-14,65.7300
2015-07-15,66.0400
2015-07-16,66.8900
2015-07-17,66.7300
2015-07-20,66.7100
2015-07-21,66.0200
2015-07-22,66.7200
2015-07-23,66.6800
2015-07-24,66.0800
2015-07-27,64.9800
2015-07-28,64.8700
2015-07-29,65.4600
2015-07-30,65.8100
2015-07-31,66.4200
2015-08-03,66.5700
2015-08-04,66.7900
2015-08-05,67.3700
2015-08-06,67.4600
2015-08-07,67.5800
2015-08-10,67.1100
2015-08-11,66.4800
2015-08-12,65.0500
2015-08-13,64.9600
