date,gsec_10y_yield
2015-04-01,1334.2
2015-04-02,1334.49
2015-04-03,1334.77
2015-04-06,1337.01
2015-04-07,1331.73
2015-04-08,1332.05
2015-04-09,1333.36
2015-04-10,1331.4
2015-04-13,1332.65
2015-04-14,1332.94
2015-04-15,1334.39
2015-04-16,1333.27
2015-04-17,1334.22
2015-04-20,1334.76
2015-04-21,1336.82
2015-04-22,1338.82
2015-04-23,1338.73
2015-04-24,1336.46
2015-04-27,1338.08
2015-04-28,1339.76
2015-04-29,1335.58
2015-04-30,1332.13
2015-05-01,1332.41
2015-05-04,1333.27
2015-05-05,1334.38
2015-05-06,1331.21
2015-05-07,1323.06
2015-05-08,1324.63
2015-05-11,1333.06
2015-05-12,1328.06
2015-05-13,1327.72
2015-05-14,1329.56
2015-05-15,1329.2
2015-05-18,1334.08
2015-05-19,1337.68
2015-05-20,1338.23
2015-05-21,1336.76
2015-05-22,1338.58
2015-05-25,1338.91
2015-05-26,1336.97
2015-05-27,1339.15
2015-05-28,1340.58
2015-05-29,1344.1
2015-06-01,1344.11
2015-06-02,1335.33
2015-06-03,1333.92
2015-06-04,1329.49
2015-06-05,1331.94
2015-06-08,1331.47
2015-06-09,1332.82
2015-06-10,1329.9
2015-06-11,1325.25
2015-06-12,1324.87
2015-06-15,1327.83
2015-06-16,1326.35
2015-06-17,1329.94
2015-06-18,1337.8
2015-06-19,1342.96
2015-06-22,1341.35
2015-06-23,1340.57
2015-06-24,1335.78
2015-06-25,1334.33
2015-06-26,1334.75
2015-06-29,1329.73
2015-06-30,1332.32
2015-07-01,1336.58
2015-07-02,1337.4
2015-07-03,1338.76
2015-07-06,1343.69
2015-07-07,1341.57
2015-07-08,1341.79
2015-07-09,1341.14
2015-07-10,1340.49
2015-07-13,1335.48
2015-07-14,1339.7
2015-07-15,1338.62
2015-07-16,1338.34
2015-07-17,1339.89
2015-07-20,1339.81
2015-07-21,1340.57
2015-07-22,1341.53
2015-07-23,1344.08
2015-07-24,1341.93
2015-07-27,1342.89
2015-07-28,1345.31
2015-07-29,1345.2
2015-07-30,1344.13
2015-07-31,1345.82
2015-08-03,1346.01
2015-08-04,1343.93
2015-08-05,1344.51
2015-08-06,1347.54
2015-08-07,1347.55
2015-08-10,1350.29
2015-08-11,1349.91
2015-08-12,1350.22
2015-08-13,1355.15
2015-08-14,1355.26
2015-08-17,1356.29
2015-08-18,1356.58
2015-08-19,1357.16
2015-08-20,1356.88
2015-08-21,1353.83
2015-08-24,1344.94
2015-08-25,1352.3
2015-08-26,1354.53
2015-08-27,1357.15
2015-08-28,1356.47
2015-08-31,1356.34
2015-09-01,1359.67
2015-09-02,1359.98
2015-09-03,1360.67
2015-09-04,1360.32
2015-09-07,1356.88
2015-09-08,1359.9
2015-09-09,1360.58
2015-09-10,1360.34
2015-09-11,1360.76
2015-09-14,1363.08
2015-09-15,1363.17
2015-09-16,1363.76
2015-09-17,1364.05
2015-09-18,1369.4
2015-09-21,1369.72
2015-09-22,1368.95
2015-09-23,1369.2
2015-09-24,1369.55
2015-09-25,1369.83
2015-09-28,1369.76
2015-09-29,1380.3
2015-09-30,1387.16
2015-10-01,1385.41
2015-10-02,1385.69
2015-10-05,1390.99
2015-10-06,1389.91
2015-10-07,1388.96
2015-10-08,1389.72
2015-10-09,1389.2
2015-10-12,1386.86
2015-10-13,1389.01
2015-10-14,1389.86
2015-10-15,1390.58
2015-10-16,1389.46
2015-10-19,1389.66
2015-10-20,1389.31
2015-10-21,1389.13
2015-10-22,1389.42
2015-10-23,1389.6
2015-10-26,1388.06
2015-10-27,1389.01
2015-10-28,1390.47
2015-10-29,1387.32
2015-10-30,1386.37
2015-11-02,1388.17
2015-11-03,1386.93
2015-11-04,1386.68
2015-11-05,1384.62
2015-11-06,1384.37
2015-11-09,1381.63
2015-11-10,1385.78
2015-11-11,1386.07
2015-11-12,1386.36
2015-11-13,1389.85
2015-11-16,1390.11
2015-11-17,1389.1
2015-11-18,1388.28
2015-11-19,1389.3
2015-11-20,1387.31
2015-11-23,1386.58
2015-11-24,1387.87
2015-11-25,1388.17
2015-11-26,1387
2015-11-27,1383.01
2015-11-30,1382.09
2015-12-01,1388.49
2015-12-02,1386.64
2015-12-03,1389.74
2015-12-04,1385.96
2015-12-07,1387.09
2015-12-08,1383.64
2015-12-09,1385.6
2015-12-10,1385.65
2015-12-11,1386.51
2015-12-14,1383.52
2015-12-15,1386.42
2015-12-16,1391.49
2015-12-17,1394.14
2015-12-18,1393
2015-12-21,1389.44
2015-12-22,1391.27
2015-12-23,1392.27
2015-12-24,1392.56
2015-12-25,1392.86
2015-12-28,1393.05
2015-12-29,1393.48
2015-12-30,1394.04
2015-12-31,1393.51
2016-01-01,1396.59
2016-01-04,1397.89
2016-01-05,1396.66
2016-01-06,1397.16
2016-01-07,1397.49
2016-01-08,1397.35
2016-01-11,1397.05
2016-01-12,1396.86
2016-01-13,1396.68
2016-01-14,1394.97
2016-01-15,1393.53
2016-01-18,1394
2016-01-19,1397.11
2016-01-20,1399.73
2016-01-21,1400.58
2016-01-22,1398.31
2016-01-25,1396.61
2016-01-26,1396.9
2016-01-27,1398.77
2016-01-28,1397.53
2016-01-29,1400.12
2016-02-01,1399.54
2016-02-02,1394.71
2016-02-03,1394.99
2016-02-04,1396.54
2016-02-05,1398.08
2016-02-08,1397.74
2016-02-09,1396.7
2016-02-10,1398.6
2016-02-11,1399.39
2016-02-12,1398.99
2016-02-15,1397
2016-02-16,1394.7
2016-02-17,1394.51
2016-02-18,1399.43
2016-02-19,1399.72
2016-02-22,1397.25
2016-02-23,1392.91
2016-02-24,1392.23
2016-02-25,1389.86
2016-02-26,1397.86
2016-02-29,1413.85
2016-03-01,1416.03
2016-03-02,1414.51
2016-03-03,1411.4
2016-03-04,1414.12
2016-03-07,1415.01
2016-03-08,1414.46
2016-03-09,1413.64
2016-03-10,1415.75
2016-03-11,1416.75
2016-03-14,1420.3
2016-03-15,1422.38
2016-03-16,1423.56
2016-03-17,1429.6
2016-03-18,1429.06
2016-03-21,1431.52
2016-03-22,1431.78
2016-03-23,1431.81
2016-03-24,1432.1
2016-03-25,1432.4
2016-03-28,1434.12
2016-03-29,1432.87
2016-03-30,1434.69
2016-03-31,1438.51
2016-04-01,1438.8
2016-04-04,1444.55
2016-04-05,1439.69
2016-04-06,1440.06
2016-04-07,1441.62
2016-04-08,1441.91
2016-04-11,1445.96
2016-04-12,1446.11
2016-04-13,1444.6
2016-04-14,1444.89
2016-04-15,1445.18
2016-04-18,1447.85
2016-04-19,1448.14
2016-04-20,1446.51
2016-04-21,1443.3
2016-04-22,1445.29
2016-04-25,1444.73
2016-04-26,1445.13
2016-04-27,1446.27
2016-04-28,1448.31
2016-04-29,1449.25
2016-05-02,1449.78
2016-05-03,1449.79
2016-05-04,1451.07
2016-05-05,1451.08
2016-05-06,1451.39
2016-05-09,1453.25
2016-05-10,1453.31
2016-05-11,1453.56
2016-05-12,1454.35
2016-05-13,1452.16
2016-05-16,1452.59
2016-05-17,1452.95
2016-05-18,1451.07
2016-05-19,1451.86
2016-05-20,1451.6
2016-05-23,1453.6
2016-05-24,1453.76
2016-05-25,1454.27
2016-05-26,1454
2016-05-27,1454.16
2016-05-30,1455.73
2016-05-31,1454.9
2016-06-01,1453.8
2016-06-02,1454.16
2016-06-03,1454.25
2016-06-06,1456.5
2016-06-07,1456.03
2016-06-08,1455.72
2016-06-09,1456.2
2016-06-10,1456.03
2016-06-13,1453.76
2016-06-14,1454.7
2016-06-15,1455.1
2016-06-16,1456.55
2016-06-17,1457.16
2016-06-20,1458.75
2016-06-21,1458.69
2016-06-22,1461.1
2016-06-23,1461.07
2016-06-24,1461.85
2016-06-27,1464.22
2016-06-28,1465.08
2016-06-29,1466.21
2016-06-30,1466.02
2016-07-01,1469.19
2016-07-04,1469.52
2016-07-05,1472.75
2016-07-06,1473.05
2016-07-07,1474.58
2016-07-08,1474.59
2016-07-11,1475.53
2016-07-12,1480.48
2016-07-13,1486.04
2016-07-14,1486.12
2016-07-15,1487.75
2016-07-18,1486.48
2016-07-19,1488.17
2016-07-20,1489.49
2016-07-21,1490.66
2016-07-22,1492.16
2016-07-25,1493.2
2016-07-26,1493.08
2016-07-27,1493.56
2016-07-28,1500.31
2016-07-29,1502.88
