date,tri
2015-04-01,8613.349609
2015-04-06,8688.400391
2015-04-07,8702.75
2015-04-08,8759
2015-04-09,8815
2015-04-10,8825.900391
2015-04-13,8882.299805
2015-04-15,8799.849609
2015-04-16,8753.900391
2015-04-17,8647.950195
2015-04-20,8487
2015-04-21,8418.700195
2015-04-22,8463.599609
2015-04-23,8441.099609
2015-04-24,8342.900391
2015-04-27,8241.299805
2015-04-28,8323.450195
2015-04-29,8287.400391
2015-04-30,8239.549805
2015-05-04,8389.900391
2015-05-05,8393.549805
2015-05-06,8156.75
2015-05-07,8089.350098
2015-05-08,8230.049805
2015-05-11,8372.049805
2015-05-12,8179.200195
2015-05-13,8298.5
2015-05-14,8305.200195
2015-05-15,8342.25
2015-05-18,8452.549805
2015-05-19,8445.25
2015-05-20,8495.900391
2015-05-21,8489.5
2015-05-22,8523.150391
2015-05-25,8447.599609
2015-05-26,8419.599609
2015-05-27,8406.5
2015-05-28,8383.450195
2015-05-29,8499.849609
2015-06-01,8495.549805
2015-06-02,8300.849609
2015-06-03,8197.900391
2015-06-04,8196.549805
2015-06-05,8186.25
2015-06-08,8109
2015-06-09,8087.649902
2015-06-10,8187.149902
2015-06-11,8032.350098
2015-06-12,8049.950195
2015-06-15,8078.25
2015-06-16,8114.5
2015-06-17,8172.200195
2015-06-18,8248.650391
2015-06-19,8298.700195
2015-06-22,8427.450195
2015-06-23,8453.400391
2015-06-24,8428.599609
2015-06-25,8467.25
2015-06-26,8450.950195
2015-06-29,8382.650391
2015-06-30,8440.950195
2015-07-01,8528.849609
2015-07-02,8536.25
2015-07-03,8568.950195
2015-07-06,8609.700195
2015-07-07,8606.150391
2015-07-08,8465
2015-07-09,8433.700195
2015-07-10,8460.200195
2015-07-13,8560.450195
2015-07-14,8558.549805
2015-07-15,8618.049805
2015-07-16,8706.700195
2015-07-17,8716
2015-07-20,8711.099609
2015-07-21,8626.150391
2015-07-22,8729.25
2015-07-23,8692.950195
2015-07-24,8624.650391
2015-07-27,8470.650391
2015-07-28,8446.75
2015-07-29,8485.5
2015-07-30,8535.25
2015-07-31,8645.849609
2015-08-03,8666.049805
2015-08-04,8664.400391
2015-08-05,8720.650391
2015-08-06,8744.5
2015-08-07,8719.099609
2015-08-10,8686.25
2015-08-11,8623.700195
2015-08-12,8493.25
2015-08-13,8493.950195
2015-08-14,8661.950195
2015-08-17,8634.5
2015-08-18,8632.099609
2015-08-19,8657.700195
2015-08-20,8535.099609
2015-08-21,8462.400391
2015-08-24,7929.350098
2015-08-25,8018.899902
2015-08-26,7932.899902
2015-08-27,8102.200195
2015-08-28,8153.549805
2015-08-31,8119.549805
2015-09-01,7938.950195
2015-09-02,7869.399902
2015-09-03,7973.399902
2015-09-04,7804.700195
2015-09-07,7692.100098
2015-09-08,7806.950195
2015-09-09,7943.399902
2015-09-10,7924.100098
2015-09-11,7925.299805
2015-09-14,8016.25
2015-09-15,7968.049805
2015-09-16,8017.450195
2015-09-18,8098.299805
2015-09-21,8096
2015-09-22,7937.549805
2015-09-23,7963.549805
2015-09-24,7982.950195
2015-09-28,7910.850098
2015-09-29,7953.25
2015-09-30,8068
2015-10-01,8079.25
2015-10-05,8248.799805
2015-10-06,8280.799805
2015-10-07,8301.900391
2015-10-08,8244.599609
2015-10-09,8295.150391
2015-10-12,8255.599609
2015-10-13,8242.849609
2015-10-14,8223.849609
2015-10-15,8287.599609
2015-10-16,8340.099609
2015-10-19,8380.349609
2015-10-20,8369.450195
2015-10-21,8354.5
2015-10-23,8384.849609
2015-10-26,8349.599609
2015-10-27,8329.900391
2015-10-28,8273.75
2015-10-29,8215.599609
2015-10-30,8175.850098
2015-11-02,8165.450195
2015-11-03,8181.350098
2015-11-04,8164.899902
2015-11-05,8075.149902
2015-11-06,8069.600098
2015-11-09,8044.450195
2015-11-10,7907.649902
2015-11-13,7886.899902
2015-11-16,7917.450195
2015-11-17,7951.25
2015-11-18,7855.25
2015-11-19,7963.899902
2015-11-20,7984.850098
2015-11-23,7981.549805
2015-11-24,7968.600098
2015-11-26,8014.25
2015-11-27,8067.899902
2015-11-30,8057.200195
2015-12-01,8087.5
2015-12-02,8069.049805
2015-12-03,8002.299805
2015-12-04,7921.799805
2015-12-07,7908.649902
2015-12-08,7842
2015-12-09,7742.25
2015-12-10,7812.549805
2015-12-11,7740.149902
2015-12-14,7780.149902
2015-12-15,7832
2015-12-16,7879.549805
2015-12-17,7978.100098
2015-12-18,7908.5
2015-12-21,7978.899902
2015-12-22,7934.049805
2015-12-23,8008.649902
2015-12-24,8005.549805
2015-12-28,8064.299805
2015-12-29,8071.75
2015-12-30,8039.799805
2015-12-31,8090.899902
2016-01-01,8118.149902
2016-01-04,7957.899902
2016-01-05,7959.850098
2016-01-06,7918.75
2016-01-07,7731.649902
2016-01-08,7772.549805
2016-01-11,7726
2016-01-12,7672.700195
2016-01-13,7712.450195
2016-01-14,7679.5
2016-01-15,7562.100098
2016-01-18,7455.799805
2016-01-19,7542.649902
2016-01-20,7412.75
2016-01-21,7370.149902
2016-01-22,7520.200195
2016-01-25,7533
2016-01-27,7535.149902
2016-01-28,7518.950195
2016-01-29,7659.649902
2016-02-01,7657.700195
2016-02-02,7547.75
2016-02-03,7452.049805
2016-02-04,7487.75
2016-02-05,7587.700195
2016-02-08,7497.850098
2016-02-09,7395.75
2016-02-10,7309.549805
2016-02-11,7068.850098
2016-02-12,7073
2016-02-15,7266.200195
2016-02-16,7138.799805
2016-02-17,7194.399902
2016-02-18,7271.600098
2016-02-19,7288.5
2016-02-22,7317.100098
2016-02-23,7197.450195
2016-02-24,7105.299805
2016-02-25,7058.850098
2016-02-26,7117.299805
2016-02-29,7083.950195
2016-03-01,7320.799805
2016-03-02,7460.850098
2016-03-03,7560.200195
2016-03-04,7578.549805
2016-03-08,7580.350098
2016-03-09,7622.899902
2016-03-10,7579.049805
2016-03-11,7603.100098
2016-03-14,7631
2016-03-15,7552.850098
2016-03-16,7580.399902
2016-03-17,7601.75
2016-03-18,7686.600098
2016-03-21,7789.25
2016-03-22,7803.100098
2016-03-23,7806.299805
2016-03-28,7701.899902
2016-03-29,7686.049805
2016-03-30,7822.899902
2016-03-31,7832.149902
2016-04-01,7810.700195
2016-04-04,7853.100098
2016-04-05,7701.700195
2016-04-06,7718.450195
2016-04-07,7655.100098
2016-04-08,7668.399902
2016-04-11,7778.600098
2016-04-12,7819.399902
2016-04-13,7954.600098
2016-04-18,8022.299805
2016-04-20,8023.950195
2016-04-21,8021.25
2016-04-22,8012.149902
2016-04-25,7966.399902
2016-04-26,8066.25
2016-04-27,8084.75
2016-04-28,7956.200195
2016-04-29,7963.649902
2016-05-02,7945.25
2016-05-03,7882.25
2016-05-04,7828.149902
2016-05-05,7854.75
2016-05-06,7859.450195
2016-05-09,7982.799805
2016-05-10,8001.950195
2016-05-11,7969.549805
2016-05-12,8026.399902
2016-05-13,7941.5
2016-05-16,7979.950195
2016-05-17,8006.5
2016-05-18,7989.049805
2016-05-19,7900.200195
2016-05-20,7863.350098
2016-05-23,7844.600098
2016-05-24,7857
2016-05-25,8029.850098
2016-05-26,8159.049805
2016-05-27,8251.900391
2016-05-30,8276.099609
2016-05-31,8254.799805
2016-06-01,8272.599609
2016-06-02,8314.400391
2016-06-03,8316.400391
2016-06-06,8292.450195
2016-06-07,8354.200195
2016-06-08,8366.25
2016-06-09,8302.900391
2016-06-10,8267.450195
2016-06-13,8207.450195
2016-06-14,8208.700195
2016-06-15,8301.450195
2016-06-16,8243.650391
2016-06-17,8268.900391
2016-06-20,8334.299805
2016-06-21,8321.150391
2016-06-22,8307.450195
2016-06-23,8366.349609
2016-06-24,8192.849609
2016-06-27,8210.25
2016-06-28,8248.450195
2016-06-29,8326.700195
2016-06-30,8416.200195
2016-07-01,8469.849609
2016-07-04,8516.599609
2016-07-05,8485.5
2016-07-07,8485.599609
2016-07-08,8476.049805
2016-07-11,8622.200195
2016-07-12,8678.650391
2016-07-13,8671.700195
2016-07-14,8716.700195
2016-07-15,8700.099609
2016-07-18,8662.549805
2016-07-19,8684.349609
2016-07-20,8727.099609
2016-07-21,8680.849609
2016-07-22,8725.299805
2016-07-25,8821.549805
2016-07-26,8781.5
2016-07-27,8811.75
2016-07-28,8860.5
2016-07-29,8839
2016-08-01,8841.450195
2016-08-02,8819.950195
2016-08-03,8727.950195
2016-08-04,8741.849609
2016-08-05,8881.900391
2016-08-08,8921
2016-08-09,8883.650391
2016-08-10,8771.400391
2016-08-11,8789.700195
2016-08-12,8871.5
2016-08-16,8853.049805
2016-08-17,8846.849609
2016-08-18,8894.849609
2016-08-19,8893
2016-08-22,8851.950195
2016-08-23,8846.549805
2016-08-24,8874.549805
2016-08-25,8816.700195
2016-08-26,8803.900391
2016-08-29,8835.150391
2016-08-30,8962.549805
2016-08-31,9000.5
2016-09-01,8987.799805
2016-09-02,9022.25
2016-09-06,9160.450195
2016-09-07,9142.549805
2016-09-08,9177.900391
2016-09-09,9090.75
2016-09-12,8918.950195
2016-09-14,8943.549805
2016-09-15,8950.599609
2016-09-16,8986.25
2016-09-19,9015.049805
2016-09-20,8987.299805
2016-09-21,8987.450195
2016-09-22,9083.900391
2016-09-23,9054.75
2016-09-26,8956.400391
2016-09-27,8940.5
2016-09-28,8983.799805
2016-09-29,8799.950195
2016-09-30,8844.200195
2016-10-03,8992.549805
2016-10-04,9029.200195
2016-10-05,9010
2016-10-06,8979.25
2016-10-07,8965.299805
2016-10-10,8971.950195
2016-10-13,8832.299805
2016-10-14,8847.299805
2016-10-17,8784.450195
2016-10-18,8945.599609
2016-10-19,8933.900391
2016-10-20,8970.299805
2016-10-21,8967.549805
2016-10-24,8977.099609
2016-10-25,8963.450195
2016-10-26,8883.150391
2016-10-27,8866.150391
2016-10-28,8906.049805
2016-11-01,8904.400391
2016-11-02,8781.099609
2016-11-03,8736.150391
2016-11-04,8673.849609
2016-11-07,8738
2016-11-08,8782.900391
2016-11-09,8660.150391
2016-11-10,8763.549805
2016-11-11,8518.450195
2016-11-15,8296.049805
2016-11-16,8309
2016-11-17,8281.950195
2016-11-18,8283.299805
2016-11-21,8124.600098
2016-11-22,8208.349609
2016-11-23,8253.650391
2016-11-24,8194.599609
2016-11-25,8344.049805
2016-11-28,8365.099609
2016-11-29,8379.549805
2016-11-30,8466.400391
2016-12-01,8425.900391
2016-12-02,8316.349609
2016-12-05,8365
2016-12-06,8380.900391
2016-12-07,8344.299805
2016-12-08,8493.400391
2016-12-09,8501.700195
2016-12-12,8406.349609
2016-12-13,8443.700195
2016-12-14,8397.299805
2016-12-15,8370.25
2016-12-16,8355.75
2016-12-19,8316.549805
2016-12-20,8286.400391
2016-12-21,8267.549805
2016-12-22,8173.549805
2016-12-23,8173.25
2016-12-26,8083.049805
2016-12-27,8214.450195
2016-12-28,8222
2016-12-29,8296.799805
2016-12-30,8382.5
2017-01-02,8389.25
2017-01-03,8411.200195
2017-01-04,8407.900391
2017-01-05,8501.650391
2017-01-06,8472.700195
2017-01-09,8466.799805
2017-01-10,8526.200195
2017-01-11,8623.150391
2017-01-12,8651
2017-01-13,8646.700195
2017-01-16,8666.450195
2017-01-17,8653.099609
2017-01-18,8678.299805
2017-01-19,8697.950195
2017-01-20,8602.900391
2017-01-23,8651.599609
2017-01-24,8739.450195
2017-01-25,8867.950195
2017-01-27,8908.900391
2017-01-30,8910
2017-01-31,8825
2017-02-01,8988.450195
2017-02-02,9013.900391
2017-02-03,9021.349609
2017-02-06,9089.650391
2017-02-07,9056.75
2017-02-08,9065
2017-02-09,9073.549805
2017-02-10,9082.950195
2017-02-13,9093
2017-02-14,9067.400391
2017-02-15,8990.200195
2017-02-16,9062.099609
2017-02-17,9110.200195
2017-02-20,9169.400391
2017-02-21,9207.25
2017-02-22,9213.900391
2017-02-23,9219.25
2017-02-27,9180.849609
2017-02-28,9170.950195
2017-03-01,9229.75
2017-03-02,9167.650391
2017-03-03,9165.049805
2017-03-06,9230.25
