decision_date,positions,turnover,n_pos,ret_excess,ret_excess_net
2015-10-09,8,,8,0.011603960596305349,0.011103960596305348
2015-10-16,8,0.75,8,0.002335340878458006,0.0018353408784580055
2015-10-23,8,1.0,8,0.007394954254542396,0.006894954254542396
2015-10-30,5,0.7692307692307693,5,-0.01138266051743222,-0.012182660517432218
2015-11-06,8,1.0769230769230769,8,-0.009523513582680804,-0.010023513582680804
2015-11-13,8,0.5,8,0.020947885003157724,0.020447885003157723
2015-11-20,8,0.25,8,0.0035449853654074687,0.0030449853654074682
2015-11-27,8,0.5,8,0.00924942128221623,0.00874942128221623
2015-12-04,8,0.5,8,0.002450750451121156,0.0019507504511211554
2015-12-11,8,0.5,8,0.0020968003090995474,0.001596800309099547
2015-12-18,8,0.75,8,0.015354499541355135,0.014854499541355135
2016-01-01,8,0.25,8,-0.009802042042076131,-0.010302042042076132
2016-01-08,8,0.25,8,0.012948981163621226,0.012448981163621226
2016-01-15,8,0.5,8,0.0077886584309311,0.0072886584309311
2016-01-22,8,0.75,8,0.004705798048534965,0.004205798048534964
2016-01-29,8,0.25,8,0.011957424550615547,0.011457424550615547
2016-02-05,8,0.25,8,0.010916083428256451,0.01041608342825645
2016-02-12,8,0.5,8,0.01979919607361591,0.01929919607361591
2016-02-19,8,0.5,8,0.005831074241610001,0.005331074241610001
2016-02-26,8,0.25,8,0.011792632038385292,0.011292632038385292
2016-03-04,8,0.75,8,0.01373704197611722,0.01323704197611722
2016-03-11,8,0.5,8,0.011632216281951269,0.011132216281951268
2016-03-18,8,0.0,8,0.00771399945399126,0.00721399945399126
2016-04-01,8,0.25,8,0.0030748048890529567,0.0025748048890529562
2016-04-08,8,0.25,8,0.0038496623653646866,0.003349662365364686
2016-04-22,8,0.25,8,0.0023803842363215866,0.0018803842363215861
2016-04-29,8,0.5,8,0.0014435449071972528,0.0009435449071972524
2016-05-06,8,0.5,8,0.007563904441766078,0.007063904441766078
2016-05-13,8,0.25,8,0.002171097700488317,0.0016710977004883165
